id;area;titulo;promesa;avance_total;coherencia;;;boletin;promesa con pl;titulo_proyecto;link;1° tramite;2°-3° tramite;aprobacion presidencial;promulgado;nombre avance;avance;simple;suma;inmediata;total_urgencias;marginal;parcial minima;parcial alto;total;escala de coherencia
67;Obras Públicas;Financiamiento privado vía concesión pública;Realizar una reforma para incorporar financiamiento privado por la vía de la Ley de Concesiones, para aumentar la inversión en infraestructura de aguas lluvia;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
68;Economia y Comercio;Modificación Ley de Quiebra;Se modificará la Ley de Quiebras para simplificar el proceso;40%;4;40%;4;8324-03;1;Sustituye el régimen concursal vigente por una ley de reorganización y liquidación de empresas y personas, y perfecciona el rol de la superintendencia del ramo.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8722&prmBoletin=8324-03;1;;;;Primer Tramite;0,4;1;13;;14;;;;1;4
68;Economia y Comercio;Modificación Ley de Quiebra;;;;40%;4;8492-13;;Establece la quiebra como causal de término del contrato de trabajo y adecúa normas de otras leyes.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8891&prmBoletin=8492-13;1;;;;Primer Tramite;0,4;6;2;;8;;;;1;4
69;Economia y Comercio;Estimulacion a la micro, pequeña y mediana empresa;Se estimulará la inversión y capitalización de las micro, pequeñas y medianas empresas, ampliando el sistema vigente del artículo 14 bis de la ley de renta que permite a estas empresas ser gravadas solo sobre la base de las utilidades retiradas. Extenderá en plenitud este mecanismo para empresas que vendan hasta 25.000 uf al año, y de manera gradual para aquellas que vendan hasta 100.000 uf al año.;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
70;Economia y Comercio;Sistema de depreciación acelerada;Se introducirá hasta el 2012 un sistema de depreciación acelerada;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
71;Economia y Comercio;Simplificación del emprendimiento;Eliminaremos  las  trabas  burocráticas  que  hoy  dificultan  la  creación de empresas y promoveremos la competencia, incentivando la innovación, el emprendimiento, la creatividad y la eficiencia;95%;4;90%;4;7328-03;1;Simplifica el régimen de constitución, modificación y disolución de las sociedades comerciales.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7720&prmBoletin=7328-03;;;1;;Aprobación Presidencial;0,9;8;26;10;44;;;;1;4
71;Economia y Comercio;Simplificación del emprendimiento;;;;100%;4;6981-03;;Facilita la constitución y funcionamiento de nuevas empresas.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7384&prmBoletin=6981-03;;;;1;Promulgado;1;;;;0;;;;1;4
72;Medio Ambiente;Impuesto a la contaminación;Profundizaremos el principio «el que contamina paga», incluyendo a todos los sectores de la actividad productiva del país, avanzando en la determinación de la línea base país, eliminando asimetrías, reforzando el derecho de propiedad, y reafirmando la certeza jurídica;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
73;Medio Ambiente;Incentivar el uso de energías renovables no convencionales;Corregiremos las distorsiones tributarias que desincentivan el uso de combustibles limpios y la reducción de emisiones. Incentivaremos las Energías Renovables no Convencionales (ERNC) y la Eficiencia Energética (EE), a través de la entrega de instrumentos financieros a las empresas para que desarrollen estas tecnologías;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
74;Medio Ambiente;Fomentar el cuidado al medio ambiente;Fomentaremos políticas de reciclaje, descontaminación y rehabilitación de áreas degradadas, estableciendo mecanismos que motiven a los ciudadanos, municipios y empresas a tomar acciones en este sentido;100%;2;;;7102-01;1;Prorroga la vigencia del decreto ley N° 701, de 1974, y aumenta los incentivos a la forestación.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7501&prmBoletin=7102-01;;;;1;Promulgado;1;;;;0;;1;;;2
75;Medio Ambiente;Promoción de combustibles limpios;Estableceremos mecanismos que permitan a la población más vulnerable acceder a fuentes de energía más limpia, fomentando el uso de la leña seca en el sur del país, y mejorando los estándares ambientales y energéticos de las estufas y cocinas a leña;100%;2;;;7141-08;1;Regula la certificación de los artefactos para combustibles de leña y otros productos dendroenergéticos.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7534&prmBoletin=7141-08;;;;1;Promulgado;1;2;12;;14;;1;;;2
76;Medio Ambiente;Servicio de parques y Biodiversidad;Instauraremos un «Servicio de Parques y Biodiversidad», mediante el cual pondremos en marcha una verdadera política para la protección de los recursos naturales y la biodiversidad. Esta institución fomentará la creación y mantención de las áreas protegidas estatales y privadas, tanto terrestres como marinas;40%;4;;;7487-12;1;Proyecto de ley que crea el Servicio de Biodiversidad y Áreas Silvestres Protegidas y el Sistema Nacional de Áreas Silvestres Protegidas.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7888&prmBoletin=7487-12;1;;;;Primer Tramite;0,4;11;;;11;;;;1;4
77;Medio Ambiente;Incentivos a la conservación de áreas silvestres protegidas;Incentivaremos la incorporación de privados por medio de beneficios tributarios para la conservación de Áreas Silvestres Protegidas Privadas;40%;2;;;7487-12;1;Proyecto de ley que crea el Servicio de Biodiversidad y Áreas Silvestres Protegidas y el Sistema Nacional de Áreas Silvestres Protegidas.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7888&prmBoletin=7487-12;1;;;;Primer Tramite;0,4;11;;;11;;1;;;2
78;Medio Ambiente;Perfeccionamiento de la ley del bosque nativo;Perfeccionaremos los mecanismos existentes en la Ley de Bosque Nativo, para fomentar la recuperación de los bosques degradados, con especial énfasis en pequeños y medianos propietarios de suelos forestales;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
79;Medio Ambiente;Ampliación de participación ciudadana en temas medioambientales;Mejoraremos el sistema de participación ciudadana en la calificación ambiental de proyectos a través de, entre otros mecanismos, la creación de sistemas que favorezcan los acuerdos entre las partes involucradas mediante mecanismos de mediación y conciliación;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
80;Medio Ambiente;Tribunal Ambiental;Implementaremos el Tribunal Ambiental, con competencias y facultades para conocer los conflictos, resolverlos adecuada y oportunamente;100%;4;;;6747-12;1;Crea el Tribunal Ambiental.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7144&prmBoletin=6747-12;;;;1;Promulgado;1;7;26;2;35;;;;1;4
81;Economia y Comercio;SERNAC financiero;Se creará el SERNAC financiero;100%;4;;;7094-03;1;Modifica ley N° 19.496, sobre Protección de los Derechos de los Consumidores, para dotar de atribuciones en materias financieras, entre otras, al Servicio Nacional del Consumidor.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7491&prmBoletin=7094-03;;;;1;Promulgado;1;6;13;6;25;;;;1;4
82;Economia y Comercio;Autorización automatica de contratos estandarizados;Se facilitará la emisión de bonos, fondos mutuos y fondos de emisión, a través de regímenes de autorización automática de contratos estandarizados;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
83;Economia y Comercio;Inversión extranjera;Se eliminarán los impuestos a la exportación de servicios financieros, estableceremos los incentivos para que las garantías puedan ser transferibles entre las distintas instituciones financieras y permitiremos que entidades financieras extranjeras puedan ofrecer directamente servicios, con la regulación adecuada;40%;3;;;7966-05;1;Administración de Fondos de Terceros y Carteras Individuales y deroga los cuerpos legales que indica.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8363&prmBoletin=7966-05;1;;;;Primer Tramite;0,4;4;2;;6;;;1;;3
84;Estado;Concurso de Alta dirección pública;Se introducirá el sistema de la Alta Dirección Pública (ADP) para la selección de los altos cargos de las superintendencias;0%;1;;;;;;;;;;;;0;;28;;28;;;;;1
85;Economia y Comercio;Incentivo a la organización de consumidores;Se continuará promoviendo la organización de los consumidores, para que éstos defiendan sus derechos, y perfeccionando la legislación para que accedan a los Tribunales de Justicia cuando así lo requiera el caso;100%;4;;;7256-03;1;Relativo al procedimiento aplicable para la protección del interés colectivo o difuso de los consumidores.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7657&prmBoletin=7256-03;;;;1;Promulgado;1;;;;0;;;;1;4
86;Minería;Fortalecimiento ENAMI;Potenciaremos a ENAMI, cambiando su gobierno corporativo, a fin de que reduzca sus costos y fortalezca su alianza estratégica con los pequeños y medianos mineros;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
87;Minería;Liberalización de la explotación de hidrocarburos;Liberalizar el precepto constitucional que establece que sólo el Estado puede explorar y explotar sustancias no susceptibles de concesión, entre las que destacan los hidrocarburos sólidos y gaseosos;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
88;Minería;Reforma a CODELCO;CODELCO continuará siendo de propiedad del Estado, aunque con un nuevo gobierno corporativo que le dará una dirección más profesional y alejada de las presiones políticas;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
89;Minería;Fin de la ley reservada del cobre;CODELCO se la liberará del impuesto a las ventas para financiar las Fuerzas Armadas;70%;4;;;7678-02;1;Establece nuevo mecanismo de financiamiento, de las capacidades estratégicas de la defensa nacional.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8071&prmBoletin=7678-02;;1;;;Segundo Tramite;0,7;3;2;1;6;;;;1;4
90;Minería;Incentivo a la investigación cientifica;Se  perfeccionarán  los  incentivos  tributarios  a  fin  de  lograr más investigación y desarrollo en el sector, permitiendo además que el crédito tributario para este efecto se otorgue también a la investigación desarrollada dentro de las empresas;100%;4;;;7503-19;1;Modifica ley N° 20241, que establece un incentivo tributario, a la inversión privada en investigación y desarrollo.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7871&prmBoletin=7503-19;;;;1;Promulgado;1;;;;0;;;;1;4
91;Estado;Concurso público de superintendentes;Los futuros superintendentes serán asignados por Alta Dirección Pública;50%;4;70%;4;7829-13;1;Crea la Intendencia de Seguridad y Salud en el Trabajo, fortalece el rol de la Superintendencia de Seguridad Social y actualiza sus atribuciones y funciones.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8222&prmBoletin=7829-13;;1;;;Segundo Tramite;0,7;;28;;28;;;;1;4
91;Estado;Concurso público de superintendentes;;;;40%;4;8041-04;;Crea la Superintendencia de Educación Superior.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8447&prmBoletin=8041-04;1;;;;Primer Tramite;0,4;6;13;;19;;;;1;4
91;Estado;Concurso público de superintendentes;;;;40%;4;8034-15;;Crea la Superintendencia de Telecomunicaciones.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8428&prmBoletin=8034-15;1;;;;Primer Tramite;0,4;;5;;5;;;;1;4
92;Estado;Extensión de la Alta dirección pública;Se profundizará la Alta Dirección Pública hasta el tercer nivel de la estructura;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
93;Estado;Nueva mecanismo de contratación a nivel local;Se extenderán los principios y mecanismos de selección por mérito de la Alta Dirección Pública a nivel regional y municipal;40%;4;40%;4;7963-06;1;Relativo al fortalecimiento de la regionalización del país.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06;1;;;;Primer Tramite;0,4;13;6;;19;;;;1;4
93;Estado;Nueva mecanismo de contratación a nivel local;;;;40%;4;8210-06;;"Perfecciona el rol fiscalizador del concejo; fortalece la transparencia y probidad en las municipalidades; crea cargos y modifica normas sobre personal y finanzas municipales.";https://www.camara.cl/pley/pley_detalle.aspx?prmID=8606&prmBoletin=8210-06;1;;;;Primer Tramite;0,4;;6;;6;;;;1;4
94;Estado;Incentivo a funcionarios destacados;Se otorgarán incentivos con remuneración variable a los funcionarios destacados;100%;2;100%;2;8660-11;1;Que otorga asignación asociada al mejoramiento de trato a los usuarios, para los funcionarios pertenecientes a  las plantas de técnicos, administrativos y auxiliares de los establecimientos de los servicios de salud.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=9047&prmBoletin=8660-11;;;;1;Promulgado;1;;;;0;;1;;;2
94;Estado;Incentivo a funcionarios destacados;;;;100%;2;8661-11;;Crea asignación asociada al mejoramiento de la calidad de trato al usuario, para los funcionarios regidos por el Estatuto de Atención Primaria de Salud Municipal.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=9048&prmBoletin=8661-11;;;;1;Promulgado;1;;;;0;;1;;;2
95;Estado;Reforma a la gestión de empresas públicas;Las empresas públicas se regirán por las normas de las sociedades anónimas abiertas. La responsabilidad de la administración de las empresas públicas recaerá en su directorio, el cual deberá designar al gerente general;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
96;Estado;Reforma al gobierno corporativo de empresas del Estado;Se reformarán los gobiernos corporativos de todas las empresas estatales sacando de sus directorios a ministros de Estado o a representantes de intereses sectoriales;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
97;Estado;Agencia Autónoma de calidad de políticas públicas;Se creará la Agencia Autónoma de Calidad de las Políticas Públicas, que cumplirá la tarea de evaluar en forma ex post las políticas y programas desarrollados por las instituciones estatales;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
98;Estado;Perfeccionamiento de la Contraloría general de la República;Se propondrán reformas para mejorar (en relación a Contraloría) el proceso de toma de razón, el rol de juez de cuentas y el control ex post. Lo anterior irá acompañado de políticas para mejorar la capacitación y los incentivos para su personal;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
99;Trabajo y Prevision social;Reforma al Salario mínimo;Crear una nueva institucionalidad que permita que se tomen en cuenta parámetros técnicos en la fijación del salario mínimo, incorporando en el análisis el riesgo de desempleo e informalidad de los trabajadores jóvenes y de los menos calificados;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
100;Trabajo y Prevision social;Extensión horario de sala cunas;Se ampliarán los horarios de atención de las salas cunas de los grupos más vulnerables para que éstas atiendan en un horario compatible con la jornada laboral de las madres;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
101;Trabajo y Prevision social;Post-natal de seis meses;En  relación  al post natal, se extenderá hasta seis meses el período del beneficio. Lo anterior se acompañará con un cambio en la cobertura de la licencia por enfermedad del niño. Esta modalidad se ofrecería como opcional al actual régimen de post natal.;100%;3;;;7526-13;1;Proyecto de ley en materia de duración del descanso de maternidad.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7918&prmBoletin=7526-13;;;;1;Promulgado;1;;;;0;;;1;;3
102;Trabajo y Prevision social;Dirección del Trabajo Autónoma;Perfeccionar la institucionalidad laboral creando una Dirección del Trabajo Autónoma, con directivos elegidos por la Alta Dirección Pública;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
103;Trabajo y Prevision social;Reforma Sindical;Se ampliarán los temas que forman parte de la negociación colectiva, incluyéndose materias como flexibilidad horaria, sistema de turnos y otros (…) Se revisará la legislación para eliminar las actuales restricciones que dificultan que un mayor número de trabajadores negocie colectivamente;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
104;Trabajo y Prevision social;Perfeccionamiento del seguro de Cesantía;Perfeccionar el Seguro de Cesantía, para que un mayor número de trabajadores pueda acceder a él, y con mayores beneficios. Simultáneamente, se dará  la oportunidad a los trabajadores para sustituir una parte de las indemnizaciones que actualmente pueden recibir en caso de ser despedidos, por indemnizaciones a todo evento.;40%;2;;;6749-13;1;Facilita el cobro del seguro de desempleo y los seguros de cesantía involuntaria asociados a créditos de consumo.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7143&prmBoletin=6749-13;1;;;;Primer Tramite;0,4;;;;0;;1;;;2
105;Trabajo y Prevision social;Aumento de Sala Cunas en empresas;Se propondrá una modificación de la actual normativa de salas cunas para empresas que contratan a 20 o más mujeres;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
106;Trabajo y Prevision social;Solución a la malas prácticas en Empresas;Se propondrá una solución eficaz para evitar las malas prácticas que distorsionan el concepto de empresa;70%;4;;;4456-13;1;Establece un nuevo concepto de empresa;https://www.camara.cl/pley/pley_detalle.aspx?prmID=4867&prmBoletin=4456-13;;1;;;Segundo Tramite;0,7;;;;0;;;;1;4
107;Trabajo y Prevision social;Promoción del Home-working;Promover la modalidad del teletrabajo y de trabajo en el hogar;40%;4;;;7199-13;1;Contrato especial de trabajo a distancia.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7596&prmBoletin=7199-13;1;;;;Primer Tramite;0,4;4;;;4;;;;1;4
108;Trabajo y Prevision social;Perfeccionar los multifondos;En primer lugar se perfeccionará el diseño de multifondos y asignaciones por defecto a la luz de la evaluación de los riesgos financieros y las percepciones políticas manifestadas en la reciente crisis. Ello, para incrementar la participación de las personas en la elección de sus fondos;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
109;Trabajo y Prevision social;Manual del cotizante;Se propone exigir a cada AFP publicar un manual de recomendaciones de inversión a los afiliados y prohibir que la publicidad de una AFP contradiga lo afirmado por su manual;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
110;Trabajo y Prevision social;Perfeccionamiento del subsidio provisional;Se propone un perfeccionamiento al actual subsidio previsional, de forma que opere más gradualmente a medida que el beneficiario integre hogares de mayores ingresos y aumente el monto promedio de la renta del capital que haya tenido él y su grupo familiar en los últimos tres años;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
111;Trabajo y Prevision social;Modificación al sistema de pensiones;Proponemos fomentar la participación voluntaria de las AFP en un nuevo sistema común de recaudación y cobranza de cotizaciones, licitado a un operador privado, como el que ya existe en otros países;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
112;Economia y Comercio;Reducción de impuesto de timbres y estampillas;Se reducirá la carga tributaria de las PYMES.  Esta reforma reducirá el Impuesto de Timbres y Estampillas a 0,6%;100%;4;100%;4;6927-05;1;Modifica diversos cuerpos legales para obtener recursos destinados al financiamiento de la reconstrucción del país.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7328&prmBoletin=6927-05;;;;1;Promulgado;1;;3;3;6;;;;1;4
112;Economia y Comercio;Reducción de impuesto de timbres y estampillas;;;;100%;4;8488-05;;Perfeciona la legislación tributaria y financia la reforma educacional.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8889&prmBoletin=8488-05;;;;1;Promulgado;1;;;;0;;;;1;4
113;Economia y Comercio;Consejo Nacional PYME;Se creará un Consejo Nacional PYME, que dependerá del nuevo Ministerio del Emprendimiento y la Innovación, que tendrá como tarea coordinar todos los programas existentes;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
114;Economia y Comercio;Reformulación normativa PYME;Promoveremos  un  Nuevo  Estatuto para las PYMES, que fomente su desarrollo y asegure que toda la legislación  y  regulación  que  se  proponga  en  el  futuro  tome  en consideración el impacto en ellas;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
115;Desarrollo Social;Ministerio de Desarrollo social;Creación del  Ministerio de Desarrollo Social, que funcionará en La Moneda bajo la directa supervisión del Presidente de la República;100%;4;;;7196-06;1;Crea el Ministerio de Desarrollo Social.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7623&prmBoletin=7196-06;;;;1;Promulgado;1;;;;0;;;;1;4
116;Desarrollo Social;Ingreso Etico Familiar;La creación de un Ingreso Ético Familiar, cuyos componentes serán el Subsidio Único Familiar, un Bono de Capacitación y un Subsidio al Trabajo. Este Ingreso Ético Familiar irá acompañado de algunos requerimientos para acceder a él, tales como asistencia escolar, control de salud, esfuerzos de capacitación y búsqueda de empleo. En el caso del subsidio por niño, éste se aumentará significativamente. Existirá un mecanismo gradual de retiro de las transferencias recibidas por los grupos beneficiarios.;100%;3;;;7992-06;1;Establece bonos y transferencias condicionadas para las familias de extrema pobreza y crea subsidio al empleo de la mujer.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8388&prmBoletin=7992-06;;;;1;Promulgado;1;;4;6;10;;;1;;3
117;Desarrollo Social;Bono Marzo;Se entregará el «Bono Marzo» por un monto de $40.000 por carga familiar, a las familias que reciben el Subsidio Único Familiar, la Asignación Familiar y Maternal, y a quienes son beneficiarios del programa Chile Solidario;100%;4;;;6852-05;1;Otorga un bono solidario a las familias de menores ingresos.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7246&prmBoletin=6852-05;;;;1;Promulgado;1;;;;0;;;;1;4
118;Desarrollo Social;Subvención preescolar;Una subvención de educación preescolar en función de requisitos como asistencia;100%;4;;;8070-04;1;Aumenta las subvenciones del Estado en los establecimientos educacionales.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8481&prmBoletin=8070-04;;;;1;Promulgado;1;;;;0;;;;1;4
119;Desarrollo Social;Financiamiento a la acción social;Creación de un mecanismo mediante el cual el Estado suplemente los aportes privados a instituciones de la sociedad civil dedicadas a trabajar con la población en condiciones de pobreza extrema, en un monto similar al aportado por las entidades privadas;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
120;Pueblos Originarios;Descentralización del Fondo de Desarollo Indigena;Descentralizaremos la ejecución de la asignación del Fondo de Desarrollo Indígena, la que se realizará por concursos radicados en las municipalidades, que serán supervisados por la nueva Agencia de Desarrollo Indígena;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
121;Pueblos Originarios;Reconocimiento legal a pueblos indigenas;Reconocimiento en la Constitución de los pueblos indígenas;40%;4;;;5324-07;1;Proyecto de reforma constitucional que reconoce el aporte de los pueblos originarios a la conformación de la nación chilena.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=5710&prmBoletin=5324-07;1;;;;Primer Tramite;0,4;9;37;2;48;;;;1;4
122;Pueblos Originarios;Oficina de Asuntos indigenas;Se creará  la Oficina de Asuntos Indígenas (OAI), en aquellas comunas que superen un cierto umbral de asignación de recursos del Fondo de Desarrollo Indígena;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
123;Pueblos Originarios;Agencia de Desarrolllo indigena;Se reformará la institucionalidad responsable de las políticas del Gobierno Central para los pueblos indígenas, y se transformará a la CONADI en una Agencia de Desarrollo Indígena que concentrará su función en la ejecución directa de las políticas y la coordinación de éstas con los municipios y otros entes. Los nombramientos en la nueva agencia se harán a través del mecanismo de Alta Dirección Pública;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
124;Pueblos Originarios;Consejo de pueblos Indigenas;Existirá un Consejo de Pueblos Indígenas a nivel nacional que tendrá como función asesorar al Gobierno en el desarrollo de la política indígena nacional, funcionando como órgano consultivo central e integrado exclusivamente por miembros de las etnias reconocidas por la ley, elegidos a través de un sistema representativo;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
125;Pueblos Originarios;Devolución de tierras;Se perfeccionará la entrega de tierras a través del subsidio establecido en el artículo 20 letra a) de la Ley Indígena, con un claro énfasis en los subsidios individuales;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
126;Estado;Áreas Metropolitanas;Reordenamiento y traspaso de competencias, funciones y atribuciones (de los gobiernos regionales), además de la creación de áreas metropolitanas. Se realizará un catastro de competencias, distinguiendo dos categorías: las exclusivas y las compartidas.;40%;2;;;7963-06;1;Relativo al fortalecimiento de la regionalización del país.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06;1;;;;Primer Tramite;0,4;13;6;;19;;1;;;2
127;Estado;Descentralización de la administración;Se le otorgará reconocimiento legal al cargo de Administrador Regional que, al igual que el administrador municipal, colaborará con el intendente en la conducción ejecutiva del Gobierno Regional;40%;4;;;7963-06;1;Relativo al fortalecimiento de la regionalización del país.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06;1;;;;Primer Tramite;0,4;13;6;;19;;;;1;4
128;Estado;Concurso público en gobiernos regionales y comunales;Implementaremos  un Sistema de Alta Dirección Pública a nivel regional y comunal, que facilitará la selección de personal de excelencia en los gobiernos regionales y comunales;40%;4;40%;4;7963-06;1;Relativo al fortalecimiento de la regionalización del país.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06;1;;;;Primer Tramite;0,4;13;6;;19;;;;1;4
128;Estado;Concurso público en gobiernos regionales y comunales;;;;40%;4;8210-06;;"Perfecciona el rol fiscalizador del concejo; fortalece la transparencia y probidad en las municipalidades; crea cargos y modifica normas sobre personal y finanzas municipales.";https://www.camara.cl/pley/pley_detalle.aspx?prmID=8606&prmBoletin=8210-06;1;;;;Primer Tramite;0,4;;6;;6;;;;1;4
129;Estado;Probidad y Transparencia;Dispondremos expresamente la aplicación de las normas sobre probidad administrativa a los intendentes y gobernadores, creando la figura de «notable abandono de deberes», lo que será sancionado con la remoción del cargo respectivo;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
130;Democracia;Elección directa de consejeros regionales;Se presentará una reforma legal en orden a implementar la elección directa de los Consejeros Regionales, tal como se aprobó recientemente por nuestro Congreso Nacional;85%;4;70%;4;7923-06;1;Establece elección directa de los Consejeros Regionales.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8317&prmBoletin=7923-06;;1;;;Segundo Tramite;0,7;1;12;;13;;;;1;4
130;Democracia;Elección directa de consejeros regionales;;;;100%;4;8715-06;;Establece un mecanismo transitorio para la elección de consejeros regionales.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=9118&prmBoletin=8715-06;;;;1;Promulgado;1;;;3;3;;;;1;4
131;Estado;Reducción de la burocracia descentralizada;Aliviar la burocracia en las regiones, para lo cual se modificará el rol del gobernador en las provincias;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
132;Estado;Subsecretaria de Comercio internacional;Crearemos la Subsecretaria de Comercio Internacional en reemplazo de la Dirección General de Relaciones Económicas, DIRECON, considerando mayores espacios para el aporte del Servicio Exterior y las competencias específicas de su personal en este ámbito;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
133;Salud;Reforma a la gestión hospitalaria;Modificaremos el gobierno corporativo de todos los hospitales, permitiéndoles un mayor grado de autonomía y mejores remuneraciones en relación a la calidad de la atención;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
134;Justicia y DDHH;Bono de asistencia judicial;Se entregará un «Bono de Asistencia Jurídica», en régimen de gratuidad o copago, para que las personas de menores recursos puedan contratar servicios legales libremente;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
135;Justicia y DDHH;Desjudicialización de la cobranza;Desjudicialización de la cobranza. Para ello se establecerá un procedimiento administrativo, limitando la posibilidad de oposición por parte del deudor en caso que exista un documento fehaciente que compruebe la deuda y el no pago;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
136;Justicia y DDHH;Reforma al sistema judicial civil;Impulsaremos una reforma a la justicia civil para que ésta, que representa cerca del 60% del trabajo judicial, sea capaz de responder a los desafíos del siglo XXI siendo más oportuna y eficaz en el cumplimiento de su trascendental rol;40%;4;;;8197-07;1;Establece el nuevo Código Procesal Civil.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8596&prmBoletin=8197-07;1;;;;Primer Tramite;0,4;11;;;11;;;;1;4
137;Justicia y DDHH;Modernización del sistema notarial;Modernizaremos el sistema notarial y registral del país, disminuyendo los tiempos de atención y crearemos una base de datos unificada a nivel nacional;40%;4;;;8673-07;1;Modifica régimen de nombramiento y funciones del sistema notarial y registral.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=9072&prmBoletin=8673-07;1;;;;Primer Tramite;0,4;;;;0;;;;1;4
138;Transporte y Telecomunicaciones;Superintendencia de telecomunicaciones;Se creará una superintendencia de Telecomunicaciones, que se hará cargo de la fiscalización del sector;40%;4;;;8034-15;1;Crea la Superintendencia de Telecomunicaciones.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8428&prmBoletin=8034-15;1;;;;Primer Tramite;0,4;;5;;5;;;;1;4
139;Transporte y Telecomunicaciones;Perfeccionamiento del sistema de concesión radioeléctrico;Se perfeccionará el sistema de concesiones y permisos radioeléctricos, eliminando trámites burocráticos, flexibilizando el uso, y promoviendo una mejor asignación de los recursos;100%;3;100%;3;7617-15;1;Modifica la Ley General de Telecomunicaciones derogando el derecho preferente a que se refiere el artículo 13 C).;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8013&prmBoletin=7617-15;;;;1;Promulgado;1;;;;0;;;1;;3
