uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
27,Salud,Creación de mecanismo solidario para madres y padres de hijos accidentados o enfermos graves,"Hoy les anuncio que crearemos un mecanismo solidario para las madres y padres trabajadores en caso que sus hijos e hijas menores de quince años sufran un accidente o enfermedad grave y de alto riesgo vital. El envío de este proyecto de Ley busca que puedan prestarles atención, acompañamiento o cuidado personal durante su enfermedad, tratamiento o rehabilitación",100%,4,,,11161-13,Crea el fondo que financiará el seguro para el acompañamiento de los niños y niñas que indica,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11673&prmBoletin=11161-13,,,,,,,,1,,Promulgado,1,,,2,2,,,,1,4,"Este proyecto de ley busca constituir las bases de un nuevo componente del Sistema de Protección Social: la creación de un fondo que financie un seguro para las madres y padres trabajadores de hijos e hijas menores de edad, afectados por una condición grave de salud y de alto riesgo vital, con el objeto que puedan ausentarse justificadamente de su trabajo durante un tiempo determinado, para prestarles atención, acompañamiento o cuidado personal, recibiendo durante ese período una prestación económica que reemplaza total o parcialmente su remuneración mensual, la que será financiada con cargo al seguro.",,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
28,Salud,Plan de formación de médicos especialistas y odontólogos,"Por eso hemos puesto en marcha un plan para que mil 480 médicos se incorporen a la Atención Primaria y se formen cuatro mil nuevos médicos especialistas y odontólogos. El Plan incluye el ingreso, formación y su permanencia en el sistema público. Lo estamos haciendo en un trabajo conjunto con las universidades para aumentar a mil el número de médicos especialistas y odontólogos formados por año ",100%,4,,,10490-11,"Modifica la ley N° 15.076, para fortalecer el proceso de ingreso y formación en especialidades médicas y odontológicas, y la ley N° 19.664, con el objeto de otorgar beneficios al personal afecto a dicho texto legal
",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10914&prmBoletin=10490-11,,,,,,,,1,,Promulgado,1,2,10,,12,,,,1,4,"El proyecto de ley tiene dos grandes objetos. En primer lugar, mediante las modificaciones a la ley N° 15.076 se pretende contribuir a mejorar los estímulos que fortalezcan el proceso de ingreso y de formación en especialidades médicas y odontológicas, previo a su ingreso a la especialidad, para hacer más atractiva esta etapa de la vida profesional. En segundo lugar, se perfecciona la carrera y se crean nuevos beneficios económicos para el personal afecto a la ley Nº 19.664.",,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
29,Trabajo y Previsión Social,Fortalecimiento de organizaciones sindicales y negociaciones sociales,"Buscamos relaciones laborales justas, que propicien metas estratégicas compartidas entre trabajadores y empresarios. Por tal razón, estamos comprometidos en fortalecer las organizaciones sindicales y hacer que las negociaciones colectivas sean más equilibradas",100%,2,,,9835-13,"Moderniza el sistema de relaciones laborales, introduciendo  modificaciones al Código del Trabajo.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10248&prmBoletin=9835-13,,,,,,,,1,,Promulgado,1,,,1,1,,1,,,2,"El proyecto realiza diversas modificaciones, tales como: ampliación de la cobertura de la negociación colectiva a trabajadores que hoy están excluidos de ejercer este derecho, simplificación del procedimiento de negociación colectiva reglada, ampliación de materias de la negociación colectiva, equilibrio de las partes en el proceso negociador en relación al derecho a huelga, entre otras. Sin embargo, la titularidad sindical no prosperó, elemento considerado fundamental para dotar de representatividad a los sindicatos y fortalcerlos.",,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es marginalmente coherente con la promesa realizada
30,Trabajo y Previsión Social,Modificación de normas especiales para temporeros y temporeras,Retomaremos el diálogo tripartito para presentar este año un proyecto de ley que modifica las normas especiales para los temporeros y temporeras,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
31,Trabajo y Previsión Social,Creación AFP estatal,"Vamos a acelerar la tramitación del proyecto que crea la AFP estatal, que traerá más competencia, menores costos de administración y mejor cobertura",40%,4,,,9399-13,Crea una Administradora de Fondos de Pensiones del Estado,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9810&prmBoletin=9399-13,1,,,,,,,,,Primer Tramite,"0,4",3,,,3,,,,1,4,"El proyecto crea una AFP estatal con el objeto de aumentar la cobertura en materia de pensiones de los trabajadores de menores rentas, trabajadores independientes y trabajadores de zonas geográficas alejadas de centros urbanos, así como introducir mayor competencia en el Sistema de las AFP.",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
32,Trabajo y Previsión Social,Inclusión laboral de personas con discapacidad,"Enviaremos un proyecto de Ley, basado en propuestas de los parlamentarios, sobre inclusión laboral de las personas con capacidades diferentes. Nada justifica que discapacitados reciban menos que el salario mínimo como remuneración. Estableceremos, además, un porcentaje de contrataciones para personas en situación de discapacidad en las instituciones y empresas públicas",90%,3,,,7855-13,"Modifica ley N° 20.422, para establecer reserva legal de empleos, para personas con discapacidad.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8255&prmBL=7855-13,,,,,,,1,,,Aprobación Presidencial,"0,9",1,16,3,20,,,1,,3,"El proyecto de Ley establece que toda unidad laboral, ya sea del sector público o privado, deberá reservar al menos un 2% de sus puestos de trabajo para trabajadores que, siendo idóneos para la función, posean alguna discapacidad de acuerdo al artículo 5 de la presente ley. Sin embargo, no se contemplan medidas en torno a remuneraciones.",,El proyecto de ley se encuentra en proceso de ser promulgado,El proyecto de ley es parcialmente coherente con la promesa realizada
33,Transporte y Telecomunicaciones,Garantias para velocidad mínima de internet,"También queremos garantizar una velocidad mínima de acceso a Internet a través de un proyecto que está discutiendo este Congreso, porque no es posible que los chilenos paguen por un servicio que no reciben",70%,4,,,"
8584-15","Modifica Ley General de Telecomunicaciones, para establecer la obligación de una velocidad mínima garantizada, de acceso a Internet",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8986&prmBoletin=8584-15,,,,,1,,,,,Comisión Mixta,"0,7",13,16,,29,,,,1,4,"El proyecto de Ley modifica la Ley General de Telecomunicaciones, para establecer la obligación de una velocidad mínima garantizada de acceso a Internet. Además, establece que estará prohibido establecer en ofertas comerciales condiciones de degradación de velocidad de acceso a Internet, en base a la utilización de sus servicios.",,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
34,Economía y Comercio,Perfeccionamiento de Ley de Pesca,"Nuestro compromiso es perfeccionar la legislación pesquera, para asegurar la sustentabilidad
de la actividad y el resguardo de los intereses de todos los chilenos
",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
35,Economía y Comercio,Estabilización del precio del cobre,Continuaremos aplicando el nuevo mecanismo de estabilización del precio del cobre por el tiempo que sea necesario,40%,4,,,10995-08,Crea un mecanismo de estabilización del precio del cobre para la Pequeña Minería,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11507&prmBoletin=10995-08,1,,,,,,,,,Primer Tramite,"0,4",1,,,1,,,,1,4,"El proyecto de ley establece un mecanismo que operará a través de un Fondo de Estabilización del Precio del Cobre para la Pequeña Minería, que será administrado por ENAMI, y cuyo objeto exclusivo será atenuar las fluctuaciones que experimente el precio del cobre para los beneficiarios directos.",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
36,"Democracia",Actualización de Constitución,"Pero nuestra convivencia necesita además contar con una Constitución moderna, actualizada y reconocida por todos como propia",40%,3,,,11173-07,Modifica el Capítulo XV de la Constitución Política de la República,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11685&prmBoletin=11173-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,1,,3,"La propuesta establece una norma que permite elaborar una nueva Constitución en una sede constituyente convocada para tal efecto, en el marco de la institucionalidad vigente. Esto, ya que la actual Constitución no contempla un mecanismo específico para su reemplazo total. Sin embargo, no establece plazos para el cambio constitucional.",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
37,Infancia y Juventud,Servicio Nacional de Protección Especializada de Niños y Niñas,Creación de un servicio de reinserción social juvenil y transformaremos el Sename en el Servicio Nacional de Protección de Menores,40%,4,,,11174-07,"Crea el Servicio Nacional de Reinserción Social Juvenil e introduce modificaciones a la ley N° 20.084, sobre responsabilidad penal de adolescentes, y a otras normas que indica",https://www.camara.cl/pley/pley_detalle.aspx?prmID=11687&prmBoletin=11174-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,"Es un excelente proyecto. pero hay que mejorar algunos puntos. En lo medular es un proyecto serio, fundado y bien hecho (justificación proporcionada por Corporación Opción).",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
