uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque,
54,Economía y Comercio,Fortalecimiento de facultades de la Superintendencia de Bancos e Instituciones Financieras,"Para hacerse cargo de este diagnóstico, entregaremos facultades a la Superintendencia de Bancos e Instituciones Financieras (SBIF) para supervisar por solvencia cualquier agente financiero y crediticio relevante. Esto debe incluir a cajas de compensación, cooperativas y empresas de comercio, entre otras. La SBIF estará facultada para decidir las entidades específicas que serían supervisadas bajo su alero, en base a criterios de ser entidad financiera, tener un tamaño mínimo y un cierto apalancamiento relevante",100%,2,,,8132-26,"Modifica el Decreto con Fuerza de Ley N° 5, de 2003, del Ministerio de Economía, Fomento y Reconstrucción, que fija el texto refundido, coordinado y sistematizado de la Ley General de Cooperativas",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8530&prmBoletin=8132-26,,,,,,,,1,,Promulgado,1,,,,0,,1,,,2,,Se le otorgan facultades de fiscalización a la SBIF sobre ciertas cooperativas,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es marginalmente coherente con la promesa realizada,
55,Economía y Comercio,Introducción de normas sobre conglomerados financieros,"Complementariamente incorporaremos un capítulo de conglomerados financieros en los cuerpos legales pertinentes, donde se defina al conglomerado financiero como objeto de supervisión, se determinen sus requerimientos de capital, liquidez y gobierno, se defina al supervisor, y se separe la parte financiera del conglomerado del resto del grupo económico",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
142,Economía y Comercio,Modernización del SERNAPESCA,"Complementariamente, es esencial modernizar el Servicio Nacional de Pesca (Sernapesca). El sub-reporte, la pesca ilegal, o simplemente la no fiscalización de los desembarques, contribuyen a la sobreexplotación. Contar con una institucionalidad fiscalizadora a la altura de los desafíos es también fundamental.",40%,4,,,10482-21,Moderniza y fortalece el ejercicio de la función pública del Servicio Nacional de Pesca,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10909&prmBoletin=10482-21,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,,"Modificaciones en materia de funciones  del Sernapesca. Aumento de dotacion en 20 cupos para el efectivo cumplimiento de las funciones de Sernapesca, nuevas facultades para el monitoreo, control y vigilancia además de la creación de de nuevas obligaciones para los agentes de actividades pesqueras, nuevas infracciones y delitos.",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
143,Economía y Comercio,Eliminación progresiva de la pesca de arrastre,"Asimismo, consideraremos la veda biológica legal de pesquerías declaradas colapsadas, junto con la eliminación progresiva de la pesca de arrastre, mediante una transición que genere los mínimos impactos en la industria nacional",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
144,Economía y Comercio,Creación del Instituto de Desarrollo de la Pesca Artesanal,"Por ello, impulsaremos el Instituto de Desarrollo de la Pesca Artesanal, con recursos y presencia regional, para que sea un motor de desarrollo social y económico de este sector",40%,4,,,9689-21,"Crea el Instituto Nacional de Desarrollo Sustentable de la Pesca Artesanal y de la Acuicultura de Pequeña Escala, INDESPA.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10103&prmBoletin=9689-21,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,,"El proyecto crea el INDESPA con presencia en cada región y cuyo objeto será la facilitación del acceso al crédito, la asistencia técnica y capacitación a los beneficiarios en todo el país, el financiamiento de aportes no reembolsables, así como también aquellos destinados a atender situaciones de catástrofe.",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
145,Economía y Comercio,Protección de la pesca artesanal,"Adicionalmente, asumimos el compromiso de concretar durante el próximo período presidencial la extensión de las 5 millas de protección artesanal desde Chiloé hasta el extremo sur, para que en todo el país exista una zona exclusiva para pescadores artesanales, y no se discrimine a los pescadores australes",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
146,Economía y Comercio,Inclusión de pescadores artesanales del sistema de pensiones y de salud,"En materia de seguridad social, realizaremos los esfuerzos necesarios para incorporar a los pescadores artesanales, tanto al sistema de pensiones, como a la salud laboral, participando de la ley de Accidentes del Trabajo y Enfermedades Profesionales",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
147,Economía y Comercio,Evaluación de la Ley de Pesca,"En el ámbito de la pesca debemos velar por que los instrumentos legales cautelen los intereses y demandas de todos los sectores involucrados, con una preocupación especial por aquellos más vulnerables. Por esto, realizaremos una evaluación de la Ley de Pesca aprobada durante la actual administración",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
34,Educación,Obligatoriedad de evaluación egreso de pedagogía,Establecer el carácter obligatorio y habilitante de la evaluación de egreso de pedagogía,100%,4,,,10008-04,"Crea el Sistema de Desarrollo Profesional Docente y modifica 
otras normas",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10422&prmBoletin=10008-04,,,,,,,,1,,Promulgado,1,,,,0,,,,1,4,,Rendir la evaluación diagnóstica será un requisito de titulación para el estudiante,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada,
56,Educación,Establecimiento de la obligatoriedad del pre-kinder,"En relación a la población de pre-kínder y kínder, la cobertura actual es casi completa, por lo que la propuesta es avanzar hacia la obligatoriedad de pre-kinder",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
57,Educación,Creación de la Subsecretaría y la Intendencia de Educación Parvularia,"Modernizaremos la institucionalidad de la educación parvularia, separando el rol de diseño de política, creando una Subsecretaría de Educación Parvularia en el Ministerio de Educación (MINEDUC), del rol fiscalizador, ejercido por una Intendencia de Educación Parvularia en la Superintendencia de Educación, y del rol de provisión del servicio, a cargo de JUNJI, Integra y otros prestadores debidamente acreditados",100%,3,,,9365-04,"Crea la Subsecretaría de Educación Parvularia, la Intendencia de Educación Parvularia y, modifica diversos cuerpos legales.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9779&prmBoletin=9365-04,,,,,,,,1,,Promulgado,1,8,4,3,15,,,1,,3,,"Ver Ley 20.835 http://www.leychile.cl/Navegar?idLey=20835&tipoVersion=0, ley que crea: CREA LA SUBSECRETARÍA DE EDUCACIÓN PARVULARIA, LA INTENDENCIA DE EDUCACIÓN PARVULARIA Y MODIFICA DIVERSOS CUERPOS LEGALES",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es parcialmente coherente con la promesa realizada,
58,Educación,Eliminación del lucro en las instituciones de educación que reciban recursos públicos,"Se eliminará la existencia de lucro con recursos públicos, por tanto, se dirigirá el financiamiento público únicamente a instituciones sin fines de lucro, que tengan como único fin la entrega de educación de calidad en el marco de un derecho social",100%,4,,,9366-04,"Regula la admisión de los y las estudiantes, elimina el financiamiento compartido y prohíbe el lucro en establecimientos educacionales que reciben aportes del Estado.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9781&prmBoletin=9366-04,,,,,,,,1,,Promulgado,1,6,5,3,14,,,,1,4,,"Ver Ley 20.845: http://www.leychile.cl/Navegar?idLey=20845&tipoVersion=0, ley de: DE INCLUSIÓN ESCOLAR QUE REGULA LA ADMISIÓN DE LOS Y LAS ESTUDIANTES, ELIMINA EL FINANCIAMIENTO COMPARTIDO Y PROHÍBE EL LUCRO EN ESTABLECIMIENTOS EDUCACIONALES QUE RECIBEN APORTES DEL ESTADO",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada,
59,Educación,Eliminación gradual del financiamiento compartido en las instituciones de educación,"Terminaremos gradualmente con el financiamiento compartido. (...) El fin del financiamiento compartido, junto con otros mecanismos de selección permitirán terminar con la segregación social en la educación financiada con recursos públicos",100%,4,,,9366-04,"Regula la admisión de los y las estudiantes, elimina el financiamiento compartido y prohíbe el lucro en establecimientos educacionales que reciben aportes del Estado.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9781&prmBoletin=9366-04,,,,,,,,1,,Promulgado,1,6,5,3,14,,,,1,4,,El proyecto crea un aporte por gratuidad y se elimina progresivamente el financiamiento compartido,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada,
60,Educación,Eliminación de la selección en las instituciones de educación,"Terminaremos con toda forma de selección a nivel de la escuela, tanto económica, social, académica y conductual",100%,3,,,9366-04,"Regula la admisión de los y las estudiantes, elimina el financiamiento compartido y prohíbe el lucro en establecimientos educacionales que reciben aportes del Estado.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9781&prmBoletin=9366-04,,,,,,,,1,,Promulgado,1,6,5,3,14,,,1,,3,,El proyecto prohíbe la selección salvo para los liceos con modalidad artística y para los emblemáticos en que se permite una selección del 20% de los alumnos de mejor rendimiento a partir de 7° básico,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es parcialmente coherente con la promesa realizada,
61,Educación,Creación del Servicio Nacional de Educación Pública y Servicios locales,"La administración de los establecimientos municipales será reemplazada por una nueva institucionalidad pública, cuya estructura contempla la creación de un Servicio Nacional de Educación Pública descentralizado y Servicios Locales de Educación Pública, que mantengan la cercanía con la comunidad educativa",40%,4,,,10368-04,Crea el Sistema de Educación Pública y modifica diversos cuerpos legales.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10782&prmBoletin=10368-04,1,,,,,,,,,Primer Tramite,"0,4",1,1,,2,,,,1,4,,"creación de nueva institucionalidad, la Dirección de Educación Pública a cargo del ministerio de educación además de 67 servicios locales de educación pública descentralizados y municipales que se relacionarán con el Presidente através del ministerio de eduación",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,uw 
62,Educación,Nueva Carrera Docente,"Estableceremos una carrera docente que, entre otros aspectos, defina mejores remuneraciones; introduzca incentivos y aumente gradualmente el número de horas de la jornada laboral docente que se destine a trabajo fuera del aula. La carrera docente debe instalar el desarrollo profesional y el desempeño de calidad como elemento central de la carrera y debe establecer la reducción gradual del número máximo de estudiantes por curso en la educación subvencionada",90%,3,,,10008-04,Crea el Sistema de Desarrollo Profesional Docente y modifica otras normas,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10422&prmBoletin=10008-04,,,,,,,1,,,Aprobación Presidencial,"0,9",3,5,2,10,,,1,,3,,pero no establece la reducción gradual del número máximo de estudiantes por curso en la educación subvencionada.,El proyecto de ley se encuentra en proceso de ser promulgado,El proyecto de ley es parcialmente coherente con la promesa realizada,
63,Educación,Establecimiento de la gratuidad universal en la Educación Superior,"Avanzaremos gradualmente en la gratuidad universal y efectiva de la educación superior, en un proceso que tomará 6 años",100%,4,,,10461-05,"Modifica la ley N° 20.882, de Presupuestos del sector público del año 2016",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10879&prmBoletin=10461-05,,,,,,,,1,,Promulgado,1,,,,0,,,,1,4,,Mediante Ley de Presupuesto para el 2016 se establece gratuidad para los estudiantes de universidades que se acojan al sistema de gratuidad y pertenezcan a los 5 primeros quintiles.,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada,
64,Educación,Creación de la Subsecretaría de Educación Superior,"Modernizaremos la institucionalidad pública de la educación superior, creando la Subsecretaría de Educación Superior",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
65,Educación,Creación de la Superintendencia de Educación Superior,"(...) la Superintendencia de Educación Superior, con competencias claras y recursos necesarios para cumplir sus funciones, en especial, la fiscalización del uso de los recursos públicos, velar que se cumpla la prohibición de lucro",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
66,Educación,Creación de la Agencia de la Calidad de la Educación Superior,"y la Agencia de la Calidad de la Educación Superior, responsable de la acreditación y de velar por la calidad de la educación superior",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
67,Educación,Sobre el rol del Ministerio de Educación frente al cierre de instituciones de educación superior,"Frente a situaciones observadas de inviabilidad y cierre de establecimientos de educación superior, el Ministerio de Educación dispondrá de los instrumentos necesarios que permitan garantizar la continuidad de estudios de todos los estudiantes involucrados",100%,4,,,9333-04,Crea el Administrador Provisional y Administrador de Cierre de Instituciones de Educación Superior y establece regulaciones en materia de administración provisional de sostenedores educacionales.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9743&prmBoletin=9333-04,,,,,,,,1,,Promulgado,1,,12,1,13,,,,1,4,,El proyecto establece y regula las figuras del Administrador Provisional y del Administrador con el objeto de resguardar el derecho a la educación de los y las estudiantes y garantizar el adecuado uso de los recursos,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada,
68,Educación,Nuevo Sistema de Acreditación de Instituciones de Educación Superior,"Estableceremos un nuevo sistema de acreditación de instituciones de educación superior. La acreditación, tanto institucional como por carreras, será obligatoria para todas las instituciones de educación superior (Universidades, IP y CFT)",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
69,Educación,Creación de Universidades Estatales en regiones de O'Higgins y Aysén,"Adicionalmente, crearemos universidades estatales regionales en donde actualmente no existen (Aysén y O´Higgins). En los primeros 100 días de Gobierno se enviará al Congreso el proyecto de ley de creación de estas nuevas universidades",100%,4,,,9405-04,Crea Universidad Estatal de la Región del Libertador General Bernardo O`Higgins y Universidad Estatal de la Región de Aysén del General Carlos Ibáñez del Campo. ,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9814&prmBoletin=9405-04,,,,,,,,1,,Promulgado,1,4,2,,6,,,,1,4,,"Ver ley 20.842: http://www.leychile.cl/Navegar?idLey=20842&tipoVersion=0, ley que: CREA LAS UNIVERSIDADES ESTATALES DE LA REGIÓN DE O'HIGGINS Y DE LA REGIÓN DE AYSÉN",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada,
70,Educación,Creación de Centros de Formación Técnica estatales en todas las regiones,"Crearemos Centros de Formación Técnica públicos, que tendrán presencia en todas las regiones",90%,4,,,9766-04,Crea quince Centros de Formación Técnica estatales,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10170&prmBoletin=9766-04,,,,,,,1,,,Aprobación Presidencial,"0,9",2,2,,4,,,,1,4,,"El proyecto crea 15 Centros de Formación Técnica, uno por Región del país",El proyecto de ley se encuentra en proceso de ser promulgado,El proyecto de ley es totalmente coherente con la promesa realizada,
41,Energía,Nuevas atribuciones para el Ministerio de Energia,"Dotar al Ministerio de Energía de capacidades para el diseño de política y la 
planificación energética",100%,4,,,9421-08,Modifica y perfecciona la ley que rige al Ministerio de Energía,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9831&prmBoletin=9421-08,,,,,,,,1,,Promulgado,1,,,,0,,,,1,4,,Ley aumenta crea las secreatarías regionales y crea más cargos de planta.,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada,
72,Energía,Mejorar regulación de los sistemas de transmisión eléctrica,Mejor Regulación de la Transmisión Eléctrica. Realizaremos las modificaciones normativas necesarias para no desincentivar a empresas generadoras entrantes y promover la competencia que nos permita reducir los precios de la energía,100%,4,,,9515-08,"Introduce modificaciones a la ley General de Servicios Eléctricos, perfeccionando el  sistema de licitaciones de suministro eléctrico para clientes sometidos a regulaciones de precios.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9924&prmBoletin=9515-08,,,,,,,,1,,Promulgado,1,2,7,1,10,,,,1,4,,"El proyecto propone que las licitaciones de suministro eléctrico constituyan un mecanismo que garantice el suministro contratado de clientes regulados a precios competitivos, asegurando condiciones de eficiencia económica, competencia, seguridad y diversificación del sistema eléctrico, conforme la ley.",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada,
73,Energía,Fomento a las ERNC,Complementaremos la ley de fomento a las ERNC con un esquema de licitaciones de energía de las empresas distribuidoras para su consumo regulado que faciliten la participación de ERNC y se pueda cumplir con la meta de 20% en el 2025 rebajando los costos marginales en el corto plazo,100%,4,,,9515-08,"Introduce modificaciones a la ley General de Servicios Eléctricos, perfeccionando el  sistema de licitaciones de suministro eléctrico para clientes sometidos a regulaciones de precios.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9924&prmBoletin=9515-08,,,,,,,,1,,Promulgado,1,2,7,1,10,,,,1,4,,"El proyecto propone que las licitaciones de suministro eléctrico constituyan un mecanismo que garantice el suministro contratado de clientes regulados a precios competitivos, asegurando condiciones de eficiencia económica, competencia, seguridad y diversificación del sistema eléctrico, conforme la ley.",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada,
75,Energía,Fortalecimiento del rol de ENAP en la estrategia energética de Chile,"Avanzaremos en una estrategia que lleve a incorporar decididamente a ENAP en la estrategia energética de Chile, la que debe incluir la capitalización de la empresa, la reforma al gobierno corporativo, la revisión del modelo de negocio, y los cambios en la ley de ENAP necesarios para permitir estas reformas",40%,4,,,10545-08,Establece un nuevo gobierno corporativo de la Empresa Nacional del Petróleo,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10967&prmBoletin=10545-08,1,,,,,,,,,Primer Tramite,"0,4",1,,,1,,,,1,4,,Proyecto de ley capitaliza ENAP por un monto de 400 millones de USD y moderniza su gobierno corporativo de acuerdo a estándares internacionales y a las normas vigentes en el país para otro tipo de sociedades.,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
76,Energía,Fortalecimiento del rol regulador de la Comisión Nacional de Energía,"En el sector eléctrico la Comisión Nacional de Energía (CNE) ha ejercido un rol cada vez más débil en su papel de regulador. Es urgente fortalecer a la CNE, en especial, fortaleciendo su capacidad reguladora",70%,4,,,10240-08,Nuevo sistema de transmisión de energía eléctrica y crea nuevo organismo coordinador independiente del sistema eléctrico nacional.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10660&prmBoletin=10240-08,,,,1,,,,,,Segundo Tramite,"0,7",,8,3,11,,,,1,4,,"Se clarifican las facultades normativas de la CNE y se aumenta su dotación de personal. Además, se eliminan las ambigüedades de los espacios de regulación entre la Comisión, el Panel de Expertos y el Coordinador estableciéndose claramente la delimitación de facultades y prelación de los actos de cada organismo.",El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
77,Energía,Fortalecimiento de los Centros de Despacho Económico de Carga (CDEC),"Daremos seguimiento estrecho a la implementación de las medidas de mayor autonomía y profesionalización de los CDEC, e implementaremos aquellos cambios adicionales que se requieran",70%,4,,,10240-08,Nuevo sistema de transmisión de energía eléctrica y crea nuevo organismo coordinador independiente del sistema eléctrico nacional.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10660&prmBoletin=10240-08,,,,1,,,,,,Segundo Tramite,"0,7",,8,3,11,,,,1,4,,"Proyecto crea un organismo independiente, sin fines de lucro, ad hoc y dotado de personalidad jurídica propia para efectos de realizar la función de coordinación del sistema y reemplaza los actuales CDEC",El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
74,Equidad de Género,Creación de fondo para la asociatividad y el liderazgo de mujeres,"Crear un Fondo Nacional para apoyar iniciativas que fortalezcan la asociatividad y 
liderazgo de las mujeres",90%,4,,,9287-06,"Crea el Ministerio de la Mujer y la Equidad de Género, y modifica 
normas legales que indica.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9696&prmBoletin=9287-06,,,,,,1,,,,Tribunal Constitucional,"0,9",,,,0,,,,1,4,,"Créase el Fondo para la Equidad de Género, administrado por el Servicio Nacional de la Mujer y la Equidad de Género, con el objeto de contribuir al financiamiento de proyectos nacionales, regionales o locales, de programas y actividades de educación y difusión, destinados a fortalecer la participación, asociatividad y liderazgo de las mujeres, en el marco de la equidad de género y los derechos humanos de las mismas",El proyecto de ley se encuentra en proceso de ser promulgado,El proyecto de ley es totalmente coherente con la promesa realizada,
78,Equidad de Género,Creación del Ministerio de la Mujer,"Dentro de los primeros 100 días de Gobierno enviaremos al Congreso el proyecto de ley que crea el Ministerio de la Mujer, buscando situar la igualdad entre mujeres y hombres al más alto nivel en la agenda política",90%,4,,,9287-06,"Crea el Ministerio de la Mujer y la Equidad de Género, y modifica normas legales que indica.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9696&prmBoletin=9287-06,,,,,,,1,,,Aprobación Presidencial,"0,9",4,12,4,20,,,,1,4,,Ver ley 20.820: http://www.leychile.cl/Navegar?idLey=20820&tipoVersion=0,El proyecto de ley se encuentra en proceso de ser promulgado,El proyecto de ley es totalmente coherente con la promesa realizada,
79,Equidad de Género,Despenalización de la interrupción voluntaria del embarazo en tres causales,"Esto incluye una ley de derechos sexuales y reproductivos acorde a las realidades y opciones de las personas; (...) y despenalización de la interrupción voluntaria del embarazo en caso de peligro de la vida de la madre, violación o inviabilidad del feto",40%,4,,,9895-11,Regula la despenalización de la interrupción voluntaria del embarazo en tres causales,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10315&prmBoletin=9895-11,1,,,,,,,,,Primer Tramite,"0,4",8,,,8,,,,1,4,,"Se despenaliza el aborto en caso de peligro de la vida de la mujer embarazada, embrión o feto con alteración estructural congénita o genética incompatible con la vida extrauterina y embarazo producto de una violación",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
80,Equidad de Género,Modificación de la actual Ley de Violencia Intrafamiliar,"Modificaremos la actual Ley de Violencia Intrafamiliar incorporando todo tipo de violencia de género, no sólo aquella que se vive dentro de las familias o entre cónyuges",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
81,Equidad de Género,Modificación de Ley de Igualdad de Remuneraciones,Modificaremos la ley de igualdad de remuneraciones para hacerla efectiva,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
82,Equidad de Género,Igualdad de participación de hombres y mujeres en instituciones políticas,"Dispondremos medidas de participación equilibrada de mujeres y hombres en el Congreso, las directivas de los partidos políticos, las instituciones públicas, en cargos directivos y directorios de empresas con participación del Estado, en el gabinete ministerial y gobiernos regionales",90%,3,90%,3,9326-07,Sustituye el sistema electoral binominal por uno de carácter proporcional inclusivo y fortalece la representatividad del Congreso Nacional,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9742&prmBoletin=9326-07,,,,,,,1,,,Aprobación Presidencial,"0,9",4,11,4,19,,,1,,3,,"Se establece una cuota de género, requiriendo a cada partido político, integre o no un pacto, que su nómina total de postulantes a la Cámara y al Senado cumpla el requisito de que ningún género esté representado por sobre 3/5 ni por debajo de los 2/5 del total. Complementariamente, establece un mayor aporte fiscal para los partidos en función del número de mujeres que elijan, tanto a la Cámara de Diputados como al Senado, ello para alentarlos a presentar candidatas. No se establecen estas medidas para otros órganos o instituciones además del Congreso Nacional.","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos,
82,Equidad de Género,Igualdad de participación de hombres y mujeres en instituciones políticas,,,,90%,3,10154-07,Fortalece el carácter público y democrático de los partidos políticos y facilita su modernización.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10581&prmBoletin=10154-07,,,,,,,1,,,Aprobación Presidencial,"0,9",,,,,,,1,,3,,Se establece cuota de género en la composición de los órganos internos de los partidos políticos.,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos,
33,Estado,Autonomía regional en materia territorial,Nuestro compromiso es dotar al gobierno regional de autonomía política y administrativa especialmente en las materias relacionadas con el desarrollo y competitividad del territorio,70%,4,,,7963-06,Relativo al fortalecimiento de la regionalización del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,,,,1,,,,,,Segundo Tramite,"0,7",,1,2,3,,,,1,4,,"La indicación sustitutiva del Gobierno establece un procedimiento para transferir competencias del Gobierno central a los regionales  en ordenamiento territorial, fomento de las actividades productivas y desarrollo social y cultural.",El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
35,Estado,Cooperación entre Gobierno Regional y Municipalidades,"Se deberán realizar los cambios normativos necesarios para establecer las condiciones que permitan que los Gobiernos Regionales tengan relaciones más estrechas de cooperación con las Municipalidades de la Región para el cumplimiento de objetivos comunes o complementarios, incluyendo presupuestos de inversión",70%,4,,,7963-06,Relativo al fortalecimiento de la regionalización del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,,,,1,,,,,,Segundo Tramite,"0,7",,,,0,,,,1,4,,El proyecto de ley contempla mecanismos de colaboración entre los nuevos gobiernos regionales y las municipalidades como son convenios por proyectos que pueden implicar inversión de presupuesto en las comunas.,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
36,Estado,Participación ciudadana en regiones,"Adicionalmente, realizaremos las modificaciones tendientes a mejorar los mecanismos de participación, transparencia y control ciudadano regional",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
37,Estado,Creación de Sistemas de Estadísticas Regionales,"Por otra parte, resulta fundamental que cada región cuente con un sistema de estadísticas que permita registrar el comportamiento en todos los ámbitos de intervención de los gobiernos regionales y posibilite el establecimiento de líneas base, información para el diseño, seguimiento y evaluación de políticas y programas, y para establecer los indicadores que permitan objetividad en las rendiciones de cuentas",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
