uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision mixta,tribunal constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_nota,ja_porque,jn_porque
9,Energía,Reforma ENAP,"Mejoraremos el Gobierno corporativo de ENAP y proveeremos a la compañía de mecanismos para captar los recursos que le permitan aumentar sus niveles de inversión, eficiencia y estándares de calidad en sus productos",0%,1,,,,Provee a ENAP de mecanismos que le permitan  aumentar sus niveles de inversión y estándares de calidad en sus productos,,,,,,,,,,,,0,,,,0,,,,,1,,,
134,Energía,Certificación de calidad del transporte público,"En el transporte se implementará un esquema de certificación y etiquetado con incentivos tributarios diferenciados sobre la base de la eficiencia energética y emisiones de los vehículos, además de su valor comercial",0%,1,,,,Certifica eficiencia energética y emisiones del transporte público,,,,,,,,,,,,0,,,,0,,,,,1,,,
81,Estado,Creación de Agencia Autónoma de calidad de políticas públicas,"Se creará la Agencia Autónoma de Calidad de las Políticas Públicas, que cumplirá la tarea de evaluar en forma ex post las políticas y programas desarrollados por las instituciones estatales",0%,1,,,,Crea la Agencia Autónoma de Calidad de las Políticas Públicas,,,,,,,,,,,,0,,,,0,,,,,1,,,
82,Estado,Alta Dirección Pública en superintendencias,Se introducirá el sistema de la Alta Dirección Pública (ADP) para la selección de los altos cargos de las superintendencias,0%,1,,,,Introduce el sistema de la Alta Dirección Pública para la selección de altos cargos de las superintendencias,,,,,,,,,,,,0,,,,0,,,,,1,,,
83,Estado,Reforma al gobierno corporativo de empresas del Estado,Se reformarán los gobiernos corporativos de todas las empresas estatales sacando de sus directorios a ministros de Estado o a representantes de intereses sectoriales,0%,1,,,,Reforma al gobierno corporativo de empresas estatales,,,,,,,,,,,,0,,,,0,,,,,1,,,
84,Estado,Incentivo a funcionarios destacados,Se otorgarán incentivos con remuneración variable a los funcionarios destacados,0%,1,,,,Incentiva con remuneración a los funcionarios destacados,,,,,,,,,,,,0,,,,0,,,,,1,,,
85,Estado,Seguimiento a observaciones de Contraloría,Se implementará un conjunto de reformas que incluyen solicitar a la Contraloría General de la República la realización de un seguimiento por un período determinado a las observaciones que realiza,0%,1,,,,Implementa un conjunto de reformas que permita fiscalizar a la Contraloría,,,,,,,,,,,,0,,,,0,,,,,1,,,
86,Estado,Extensión de la Alta dirección pública,Se profundizará la Alta Dirección Pública hasta el tercer nivel de la estructura,0%,1,,,,Profundiza la Alta Dirección Pública,,,,,,,,,,,,0,,,,0,,,,,1,,,
88,Estado,Subsecretaria de Comercio internacional,"Crearemos la Subsecretaria de Comercio Internacional en reemplazo de la Dirección General de Relaciones Económicas, DIRECON, considerando mayores espacios para el aporte del Servicio Exterior y las competencias específicas de su personal en este ámbito",0%,1,,,,Reemplaza la Dirección General de Relaciones Económicas por una Subsecretaría de Comercio Internacional,,,,,,,,,,,,0,,,,0,,,,,1,,,
109,Estado,Concurso público en gobiernos regionales y comunales,"Implementaremos  un Sistema de Alta Dirección Pública a nivel regional y comunal, que facilitará la selección de personal de excelencia en los gobiernos regionales y comunales",40%,3,,,7963-06,Relativo al fortalecimiento de la regionalización del país,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,1,,,,,,,,,Primer Tramite,"0,4",4,,,4,,,1,,3,,,
110,Estado,Traspaso de competencias a los gobiernos regionales,"Reordenamiento y traspaso de competencias, funciones y atribuciones, además de la creación de áreas metropolitanas. Se realizará un catastro de competencias, distinguiendo dos categorías: las exclusivas y las compartidas.",40%,2,,,7963-06,Relativo al fortalecimiento de la regionalización del país,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,1,,,,,,,,,Primer Tramite,"0,4",4,,,4,,1,,,2,,,
111,Estado,Descentralización de la administración,"Se le otorgará reconocimiento legal al cargo de Administrador Regional que, al igual que el administrador municipal, colaborará con el intendente en la conducción ejecutiva del Gobierno Regional",40%,4,,,7963-06,Relativo al fortalecimiento de la regionalización del país,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,1,,,,,,,,,Primer Tramite,"0,4",4,,,4,,,,1,4,,,
114,Estado,Fiscalización al gobierno municipal,"Someteremos a los alcaldes a un régimen de responsabilidad administrativa, correspondiendo a la Contraloría la realización de los sumarios respectivos, facultándola para aplicar multas u otras sanciones. De igual manera, perfeccionaremos el ejercicio de las acciones de fiscalización y de contratación de auditorías para los concejales",0%,1,,,,Somete a los alcaldes a un régimen de responsabilidad administrativa de modo que facilite la fiscalización de su gestión,,,,,,,,,,,,0,,,,0,,,,,1,,,
115,Estado,Reforma al Fondo común Municipal,"El Fondo Común Municipal será rediseñado, pues es necesario que la distribución de los recursos se realice con un criterio objetivo de acuerdo a la vulnerabilidad de las comunas y que se generen incentivos para que los municipios fortalezcan sus fuentes de financiamiento propias.",0%,1,,,,Reforma al Fondo Común Municipal,,,,,,,,,,,,0,,,,0,,,,,1,,,
116,Estado,Audiencias públicas,Se realizarán modificaciones legales que exijan efectuar una cantidad mínima de audiencias públicas al año,0%,1,,,,Exije efectuar una cantidad mínima de audiencias públicas al año,,,,,,,,,,,,0,,,,0,,,,,1,,,
117,Estado,Democracia Tributaria,"Se establecerán bases para una mayor democracia tributaria, que entre otras materias, considerará que un contribuyente afecto al impuesto de primera categoría o al global complementario que realice donativos para el desarrollo local pueda recibir un incentivo tributario",0%,1,,,,Establece bases para mayor democracia tributaria,,,,,,,,,,,,0,,,,0,,,,,1,,,
120,Estado,Impuesto territorial,El Estado pagará impuesto territorial por todos sus bienes raíces,0%,1,,,,Declara un impuesto territorial para los bienes raices del Estado,,,,,,,,,,,,0,,,,0,,,,,1,,,
122,Estado,Modificación al impuesto territorial,"En relación al impuesto territorial, introduciremos reformas para que los municipios tengan un mayor rol en su determinación y recaudación",0%,1,,,,Introduce reformas al impuesto territorial para incentivar la autonomía en los municipios,,,,,,,,,,,,0,,,,0,,,,,1,,,
124,Estado,Reforma al sistema administrativo del Estado,"Terminaremos con la duplicidad de funciones entre los distintos niveles de Gobierno, responsabilizando a los municipios por la producción de bienes y servicios locales. Se distinguirá entre municipios rurales, urbanos que administren sólo una ciudad y municipios urbanos pertenecientes a áreas metropolitanas. Según estos factores se otorgarán más o menos atribuciones en gestión de ciudad como, por ejemplo, tránsito, planificación urbana, inversión pública, entre otras",0%,1,,,,Reforma el sistema administrativo del Estado y de las municipalidades,,,,,,,,,,,,0,,,,0,,,,,1,,,
126,Estado,Reducción de la burocracia descentralizada,"Aliviar la burocracia en las regiones, para lo cual se modificará el rol del gobernador en las provincias",0%,1,,,,Modifica el rol del gobernador en las provincias,,,,,,,,,,,,0,,,,0,,,,,1,,,
128,Estado,Probidad y Transparencia,"Dispondremos expresamente la aplicación de las normas sobre probidad administrativa a los intendentes y gobernadores, creando la figura de ""notable abandono de deberes"", lo que será sancionado con la remoción del cargo respectivo",0%,1,,,,"Crea la figura de notable abandono de deberes, aplicando las normas sobre probidad administrativa",,,,,,,,,,,,0,,,,0,,,,,1,,,
129,Estado,Descentralización de los recursos,"Traspasaremos directamente los fondos sectoriales a los municipios, con reglas de inversión general y de acuerdo a lineamientos que fije el Gobierno Central. Se ajustará la legislación vigente en orden a que los municipios puedan efectivamente hacer uso del mandato que les entrega la Constitución en esta materia",0%,1,,,,Traspasa directamente los fondos sectoriales a los municipios,,,,,,,,,,,,0,,,,0,,,,,1,,,
138,Estado,Reforma en contrataciones de la administración local,"Se creará para el sector un sistema similar al de la Alta Dirección Pública, que atienda las necesidades de selección de personal por mérito en los gobiernos locales. Con esta  iniciativa,  los  cargos  municipales  serán  provistos  mediante concursos en los estamentos técnicos, profesionales y jefaturas.",0%,1,,,,Reforma la contratación de la administración local,,,,,,,,,,,,0,,,,0,,,,,1,,,
140,Estado,Concurso público para selección de Superintendentes,,,,40%,2,8041-04,Crea la Superintendencia de Educación Superior,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8447&prmBoletin=8041-04,1,,,,,,,,,Primer Tramite,"0,4",2,,,2,,1,,,2,,,
140,Estado,Concurso público para selección de Superintendentes,Los futuros superintendentes serán asignados por Alta Dirección Pública,55%,2,70%,2,7829-13,"Crea la Intendencia de Seguridad y Salud en el Trabajo, fortalece el rol de la Superintendencia de Seguridad Social y actualiza sus atribuciones y funciones",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8222&prmBoletin=7829-13,,,,1,,,,,,Segundo Tramite,"0,7",,6,,6,,1,,,2,,,
140,Estado,Concurso público para selección de Superintendentes,,,,40%,2,8034-15,Crea la Superintendencia de Telecomunicaciones,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8428&prmBoletin=8034-15,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,1,,,2,,,
143,Estado,Reforma a la gestión de empresas públicas,"Las empresas públicas se regirán por las normas de las sociedades anónimas abiertas. La responsabilidad de la administración de las empresas públicas recaerá en su directorio, el cual deberá designar al gerente general",0%,1,,,,Reforma a la gestión de empresas públicas,,,,,,,,,,,,0,,,,0,,,,,1,,,
144,Estado,Perfeccionamiento de la Contraloría general de la República,"Se propondrán reformas para mejorar el proceso de toma de razón, el rol de juez de cuentas y el control ex post. Lo anterior irá acompañado de políticas para mejorar la capacitación y los incentivos para su personal",0%,1,,,,"Reforma el proceso de toma de razon, el rol de juez de cuentas y el control ex post de la Contraloría",,,,,,,,,,,,0,,,,0,,,,,1,,,
80,Justicia y DDHH,Banco de Datos delictual,"Se creará un Banco de Datos Delictual, que entregue más y mejor información acerca de las principales estadísticas delictuales, evaluaciones y presupuestos. Se establecerá un sistema de información que mantenga en red a todas las instituciones involucradas en el ámbito de la seguridad, que contará con información relativa al historial de los delincuentes, incluyendo su ADN y otros antecedentes",0%,1,,,,Crea el Registro Nacional de Prófugos de la Justicia.,,,,,,,,,,,,0,,,,0,,,,,1,,,
119,Justicia y DDHH,Bono de asistencia judicial,"Se entregará un Bono de Asistencia Jurídica, en régimen de gratuidad o copago, para que las personas de menores recursos puedan contratar servicios legales libremente",0%,1,,,,Creación Bono de Asistencia Jurídica para personas de menores recursos,,,,,,,,,,,,0,,,,0,,,,,1,,,
123,Justicia y DDHH,Desjudicialización de la cobranza,"Desjudicialización de la cobranza. Para ello se establecerá un procedimiento administrativo, limitando la posibilidad de oposición por parte del deudor en caso que exista un documento fehaciente que compruebe la deuda y el no pago",0%,1,,,,Procedimiento administrativo que desjudicializa la cobranza estableciendo nuevo proceder administrativo,,,,,,,,,,,,0,,,,0,,,,,1,,,
125,Justicia y DDHH,Reforma al sistema judicial civil,"Impulsaremos una reforma a la justicia civil para que esta, que representa cerca del 60% del trabajo judicial, sea capaz de responder a los desafíos del siglo XXI siendo más oportuna y eficaz en el cumplimiento de su trascendental rol",0%,1,,,,Establece el nuevo Código Procesal Civil.,,,,,,,,,,,,0,,,,0,,,,,1,,,
127,Justicia y DDHH,Modernización del sistema notarial,"Modernizaremos el sistema notarial y registral del país, disminuyendo los tiempos de atención y crearemos una base de datos unificada a nivel nacional",0%,1,,,,Modifica régimen de nombramiento y funciones del sistema notarial y registral.,,,,,,,,,,,,0,,,,0,,,,,1,,,
145,Justicia y DDHH,Reforma al codigo penal,Debemos emprender diversas modificaciones de nuestro Código Penal y ajustar la legislación interna al derecho humanitario convencional,0%,1,,,,Relativo a la modificación del Código Penal ,,,,,,,,,,,,0,,,,0,,,,,1,,,
147,Medio Ambiente,Impuesto a la contaminación,"Profundizaremos el principio ""el que contamina paga"", incluyendo a todos los sectores de la actividad productiva del país, avanzando en la determinación de la línea base país, eliminando asimetrías, reforzando el derecho de propiedad, y reafirmando la certeza jurídica",0%,1,,,,Relativo a la profundización del impuesto a la contaminación ,,,,,,,,,,,,0,,,,0,,,,,1,,,
149,Medio Ambiente,Incentivar el uso de energías renovables no convencionales,"Corregiremos las distorsiones tributarias que desincentivan el uso de combustibles limpios y la reducción de emisiones. Incentivaremos las Energías Renovables no Convencionales (ERNC) y la Eficiencia Energética (EE), a través de la entrega de instrumentos financieros a las empresas para que desarrollen estas tecnologías ",0%,1,,,,Relativo al incentivo de Energías Renovables no Convencionales y a la Eficiencia Energética,,,,,,,,,,,,0,,,,0,,,,,1,,,
151,Medio Ambiente,Fomentar el cuidado al medio ambiente,"Fomentaremos políticas de reciclaje, descontaminación y rehabilitación de áreas degradadas, estableciendo mecanismos que motiven a los ciudadanos, municipios y empresas a tomar acciones en este sentido",0%,1,,,,"Relativo al incentivo de reciclaje, descontaminación y rehabilitación de áreas degradadas por parte del area pública y privada",,,,,,,,,,,,0,,,,0,,,,,1,,,
152,Medio Ambiente,Promoción de combustibles limpios,"Estableceremos mecanismos que permitan a la población más vulnerable acceder a fuentes de energía más limpia, fomentando el uso de la leña seca en el sur del país, y mejorando los estándares ambientales y energéticos de las estufas y cocinas a leña",70%,2,,,7141-08,Regula la certificación de los artefactos para combustibles de leña y otros productos dendroenergúticos,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7534&prmBoletin=7141-08,,,,1,,,,,,Segundo Tramite,"0,7",2,10,,12,,1,,,2,,,
157,Medio Ambiente,Servicio de parques y Biodiversidad,"Instauraremos un ""Servicio de Parques y Biodiversidad"", mediante el cual pondremos en marcha una verdadera política para la protección de los recursos naturales y la biodiversidad. Esta institución fomentará la creación y mantención de las áreas protegidas estatales y privadas, tanto terrestres como marinas",40%,4,,,7487-12,Proyecto de ley que crea el Servicio de Biodiversidad y çreas Silvestres Protegidas y el Sistema Nacional de çreas Silvestres Protegidas,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7888&prmBoletin=7487-12,1,,,,,,,,,Primer Tramite,"0,4",11,,,11,,,,1,4,,,
158,Medio Ambiente,Incentivos a la conservación de áreas silvestres protegidas,Incentivaremos la incorporación de privados por medio de beneficios tributarios para la conservación de áreas Silvestres Protegidas Privadas,40%,2,,,7487-12,Proyecto de ley que crea el Servicio de Biodiversidad y çreas Silvestres Protegidas y el Sistema Nacional de çreas Silvestres Protegidas,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7888&prmBoletin=7487-12,1,,,,,,,,,Primer Tramite,"0,4",11,,,11,,1,,,2,,,
159,Medio Ambiente,Perfeccionamiento de la ley del bosque nativo,"Perfeccionaremos los mecanismos existentes en la Ley de Bosque Nativo, para fomentar la recuperación de los bosques degradados, con especial énfasis en pequeños y medianos propietarios de suelos forestales",0%,1,,,,Modifica Ley Nº 20.283 sobre Bosque Nativo ,,,,,,,,,,,,0,,,,0,,,,,1,,,
160,Medio Ambiente,Ampliación de participación ciudadana en temas medioambientales,"Mejoraremos el sistema de participación ciudadana en la calificación ambiental de proyectos a través de, entre otros mecanismos, la creación de sistemas que favorezcan los acuerdos entre las partes involucradas mediante mecanismos de mediación y conciliación",0%,1,,,,Sobre la modificación de participación ciudadana en calificación ambiental de proyectos,,,,,,,,,,,,0,,,,0,,,,,1,,,
161,Medio Ambiente,Tribunal Ambiental,"Implementaremos el Tribunal Ambiental, con competencias y facultades para conocer los conflictos, resolverlos adecuada y oportunamente",90%,4,,,6747-12,Crea el Tribunal Ambiental,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7144&prmBoletin=6747-12,,,,,,,1,,,Aprobación Presidencial,"0,9",,,,0,,,,1,4,,,
43,Minería,Incentivo a la investigación cientifica,"Se  perfeccionarán  los  incentivos  tributarios  a  fin  de  lograr más investigación y desarrollo en el sector, permitiendo además que el crédito tributario para este efecto se otorgue también a la investigación desarrollada dentro de las empresas",70%,4,,,7503-19,"Modifica la ley N 20.241, que establece un incentivo tributario a la inversión privada en investigación y desarrollo",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7871&prmBoletin=7503-19,,,,1,,,,,,Segundo Tramite,"0,7",4,11,2,17,,,,1,4,,,
47,Minería,Fortalecimiento ENAMI,"Potenciaremos a ENAMI, cambiando su gobierno corporativo, a fin de que reduzca sus costos y fortalezca su alianza estratúgica con los pequeños y medianos mineros",0%,1,,,,Sobre el fortalecimiento de ENAMI,,,,,,,,,,,,0,,,,0,,,,,1,,,
49,Minería,Liberalización de la explotación de hidrocarburos,"Liberalizar el precepto constitucional que establece que sólo el Estado puede explorar y explotar sustancias no susceptibles de concesión, entre las que destacan los hidrocarburos sólidos y gaseosos",0%,1,,,,Sobre la liberalización de la explotacion de hidrocarburos sólidos y gaseosos,,,,,,,,,,,,0,,,,0,,,,,1,,,
51,Minería,Reforma a CODELCO,"CODELCO continuará siendo de propiedad del Estado, aunque con un nuevo gobierno corporativo que le dará una dirección más profesional y alejada de las presiones políticas ",0%,1,,,,Sobre la creación de nuevo gobierno corporativo de CODELCO,,,,,,,,,,,,0,,,,0,,,,,1,,,
28,Obras Públicas,Coordinación de conceciones de Obras públicas,"Se institucionalizará la Coordinación de Concesiones de Obras Públicas, con oficinas regionales, que será un organismo autónomo del estado relacionado con la Presidencia de la República a través del MOP",0%,1,,,,Crea la Coordinación de Concesiones de Obras Públicas,,,,,,,,,,,,0,,,,0,,,,,1,,,
30,Obras Públicas,Concesiones públicas,"Se extenderá la industria de las concesiones a otros sectores, como la construcción y operación de hospitales y establecimientos educacionales, además del transporte público, parques, plazas, centros de turismo, de deportes, de cultura y re- creación, entre otros",0%,1,,,,Sobre la extensión de concesiones ,,,,,,,,,,,,0,,,,0,,,,,1,,,
32,Obras Públicas,Financiamiento privado vía concesión pública,Realizar una reforma para incorporar financiamiento privado por la vía de la Ley de Concesiones,0%,1,,,,Reforma la Ley de Concesiones ,,,,,,,,,,,,0,,,,0,,,,,1,,,
104,Pueblos Originarios,Descentralización del Fondo de Desarollo Indigena,"Descentralizaremos la ejecución de la asignación del Fondo de Desarrollo Indígena, la que se realizará por concursos radicados en las municipalidades, que serán supervisados por la nueva Agencia de Desarrollo Indígena",0%,1,,,,Crea la Agencia de Desarrollo Indígena,,,,,,,,,,,,0,,,,0,,,,,1,,,
105,Pueblos Originarios,Reconocimiento legal a pueblos indigenas,Reconocimiento en la Constitución de los pueblos indígenas,40%,4,,,5324-07,Proyecto de reforma constitucional que reconoce el aporte de los pueblos originarios a la conformación de la nación chilena,https://www.camara.cl/pley/pley_detalle.aspx?prmID=5710&prmBoletin=5324-07,1,,,,,,,,,Primer Tramite,"0,4",8,37,2,47,,,,1,4,,,
107,Pueblos Originarios,Agencia de Desarrolllo indigena,"Se reformará la institucionalidad responsable de las políticas del Gobierno Central para los pueblos indígenas, y se transformará a la CONADI en una Agencia de Desarrollo Indígena que concentrará su función en la ejecución directa de las políticas y la coordinación de ústas con los municipios y otros entes. Los nombramientos en la nueva agencia se harán a travús del mecanismo de Alta Dirección Pública",0%,1,,,,Sobre la modificación de la CONADI,,,,,,,,,,,,0,,,,0,,,,,1,,,
108,Pueblos Originarios,Consejo de pueblos Indigenas,"Existirá un Consejo de Pueblos Indígenas a nivel nacional que tendrá como función asesorar al Gobierno en el desarrollo de la política indígena nacional, funcionando como órgano consultivo central e integrado exclusivamente por miembros de las etnias reconocidas por la ley, elegidos a travús de un sistema representativo",0%,1,,,,Sobre la creación de un Consejo de Pueblo Indígenas,,,,,,,,,,,,0,,,,0,,,,,1,,,
113,Pueblos Originarios,Devolución de tierras ,"Se perfeccionará la entrega de tierras a través del subsidio establecido en el artículo 20 letra a) de la Ley Indígena, con un claro énfasis en los subsidios individuales",0%,1,,,,Modifica la Ley Indígena ,,,,,,,,,,,,0,,,,0,,,,,1,,,
87,Salud,Reforma a la gestión hospitalaria,"Modificaremos el gobierno corporativo de todos los hospitales, permitiéndoles un mayor grado de autonomía y mejores remuneraciones en relación a la calidad de la atención",0%,1,,,,Sobre la modificación de los gobiernos corporativos de hospitales ,,,,,,,,,,,,0,,,,0,,,,,1,,,
74,Seguridad,Ministerio del interior y seguridad pública,"Aprobaremos el proyecto que establece el Ministerio del Interior y Seguridad Pública, y la Subsecretaría de Prevención y Rehabilitación, que entregará claramente la responsabilidad gubernamental en el ámbito de la seguridad al Ministerio del Interior. La dependencia de la Policía de Carabineros e Investigaciones pasará a este ministerio",100%,4,,,4248-06,"Crea el Ministerio de Seguridad Pública y el Servicio Nacional para la Prevención del Consumo y Tráfico de Drogas, y modifica diversos cuerpos legales",https://www.camara.cl/pley/pley_detalle.aspx?prmID=4629&prmBoletin=4248-06,,,,,,,,1,,Promulgado,1,19,41,7,67,,,,1,4,,,
75,Seguridad,Creación Jefe Comunal de Seguridad,"En el nivel local, estableceremos como máxima autoridad en materia de seguridad al alcalde. Crearemos el cargo de Jefe Comunal de Seguridad, que estará a cargo de los programas comunales de seguridad, y que deberá tener perfil túcnico y ser elegido a travús del Sistema de Alta Dirección Pública.",0%,1,,,,Sobre la creacion del cargo de Jefe Comunal de Seguridad,,,,,,,,,,,,0,,,,0,,,,,1,,,
76,Seguridad,Reforma del SENAME,"Reformularemos íntegramente el SENAME, creando el Servicio Nacional de la Infancia dependiente del nuevo Ministerio de Desarrollo Social, separando las funciones que actualmente realiza. La adopción y protección de menores corresponderán al nuevo Servicio Nacional de la Infancia. ",0%,1,,,,Sobre la modificación del SENAME y la creación de Servicio Nacional de la Infancia,,,,,,,,,,,,0,,,,0,,,,,1,,,
77,Seguridad,Reforma Gendarmería,"Se concentrará la labor de Gendarmería exclusivamente en el resguardo de la seguridad en recintos carcelarios, liberando a la institución (SENAME) de las funciones de rehabilitación y reinserción que en la actualidad no desempeña satisfactoriamente. Éstas quedarían a cargo de la Subsecretaría de Prevención y Rehabilitación del Ministerio del Interior",0%,1,,,,Sobre modificación de labores de Gendarmería  ,,,,,,,,,,,,0,,,,0,,,,,1,,,
78,Seguridad,Aumento de dotación de Carabineros de Chile,"Se aumentará gradualmente en 10.000 efectivos la dotación de Carabineros en la calle durante los cuatro años del próximo gobierno. Para ello se incrementará la formación de Carabineros y Oficiales, se asignará personal civil a las labores de administración en Carabineros y se recontratarán Carabineros en retiro",100%,3,,,6962-02,Aumenta las plantas de Personal de Carabineros de Chile,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7358&prmBoletin=6962-02,,,,,,,,1,,Promulgado,1,,8,,8,,,1,,3,,,
79,Seguridad,Implementación del Brazalete de Seguridad,Se implementará un sistema de monitoreo electrónico a distancia (brazalete de seguridad) en casos de delitos de violencia intrafamiliar y otros de naturaleza grave. La administración de este sistema quedará en manos de una entidad especializada,70%,4,,,5838-07,"Modifica la ley N¡ 18.216, que establece medidas alternativas a las penas privativas o restrictivas de libertad",https://www.camara.cl/pley/pley_detalle.aspx?prmID=6214&prmBoletin=5838-07,,,,1,,,,,,Segundo Tramite,"0,7",19,18,1,38,,,,1,4,,,
121,Seguridad,Tribunales Vecinales,Creación de Tribunales Vecinales para facilitar el acceso a la justicia. Estableceremos gradualmente en la mayoría de las comunas del país estos tribunales,0%,1,,,,Sobre la creación de Tribunales Vecinales ,,,,,,,,,,,,0,,,,0,,,,,1,,,
136,Seguridad,Centros judiciales de Violencia intra-familiar,"Se crearán también los Centros Judiciales de Violencia Intra-familiar en los Tribunales de Familia a lo largo del país, para que en casos urgentes toda mujer, niña o niño agredido, reciba la protección y reparación que merece de manera oportuna y eficaz",0%,1,,,,Sobre la creación de Centros Judiciales de Violencia Intra-Familiar,,,,,,,,,,,,0,,,,0,,,,,1,,,
63,Trabajo y previsión social,Reforma al Salario mínimo,"Crear una nueva institucionalidad que permita que se tomen en cuenta parámetros técnicos en la fijación del salario mínimo, incorporando en el análisis el riesgo de desempleo e informalidad de los trabajadores jóvenes y de los menos calificados",0%,1,,,,Sobre la fijacion de Salario Mínimo a través de parámetros técnicos,,,,,,,,,,,,0,,,,0,,,,,1,,,
65,Trabajo y previsión social,Extensión horario de sala cunas,Se ampliarán los horarios de atención de las salas cunas de los grupos más vulnerables para que éstas atiendan en un horario compatible con la jornada laboral de las madres,0%,1,,,,Relativo a la extensión del horario de salas cuna,,,,,,,,,,,,0,,,,0,,,,,1,,,
66,Trabajo y previsión social,Post-natal de seis meses,"En  relación  al post natal, se extenderá hasta seis meses el período del beneficio. Lo anterior se acompañará con un cambio en la cobertura de la licencia por enfermedad del niño. Esta modalidad se ofrecería como opcional al actual rúgimen de post natal.",100%,3,,,7526-13,Proyecto de ley en materia de duración del descanso de maternidad,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7918&prmBoletin=7526-13,,,,,,,,1,,Promulgado,1,3,4,1,8,,,1,,3,,,
67,Trabajo y previsión social,Dirección del Trabajo Autónoma,"Perfeccionar la institucionalidad laboral creando una Dirección del Trabajo Autónoma, con directivos elegidos por la Alta Dirección Pública",0%,1,,,,Relativo a la creación de la Dirección del Trabajo Autónoma,,,,,,,,,,,,0,,,,0,,,,,1,,,
68,Trabajo y previsión social,Reforma Sindical,"Se ampliarán los temas que forman parte de la negociación colectiva, incluyúndose materias como flexibilidad horaria, sistema de turnos y otros (...) Se revisará la legislación para eliminar las actuales restricciones que dificultan que un mayor número de trabajadores negocie colectivamente",0%,1,,,,Sobre el fortalecimiento de la negociación colectiva,,,,,,,,,,,,0,,,,0,,,,,1,,,
69,Trabajo y previsión social,Perfeccionamiento del seguro de Cesantía,"Perfeccionar el Seguro de Cesantía, para que un mayor número de trabajadores pueda acceder a él, y con mayores beneficios. Simultáneamente, se dará  la oportunidad a los trabajadores para sustituir una parte de las indemnizaciones que actualmente pueden recibir en caso de ser despedidos, por indemnizaciones a todo evento.",40%,2,,,6749-13,Facilita el cobro del seguro de desempleo y los seguros de cesantía involuntaria asociados a crúditos de consumo,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7143&prmBoletin=6749-13,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,1,,,2,,,
71,Trabajo y previsión social,Aumento de Sala Cunas en empresas,Se propondrá una modificación de la actual normativa de salas cunas para empresas que contratan a 20 o más mujeres,0%,1,,,,Modificación de normativa relativa a salas cunas,,,,,,,,,,,,0,,,,0,,,,,1,,,
72,Trabajo y previsión social,Solución a la malas prácticas en Empresas,Se propondrá una solución eficaz para evitar las malas prácticas que distorsionan el concepto de empresa,70%,4,,,4456-13,Establece un nuevo concepto de empresa,https://www.camara.cl/pley/pley_detalle.aspx?prmID=4867&prmBoletin=4456-13,,,,1,,,,,,Segundo Tramite,"0,7",,,,0,,,,1,4,,,
73,Trabajo y previsión social,Promoción del Home-working,Promover la modalidad del teletrabajo y de trabajo en el hogar,40%,4,,,7199-13,Contrato especial de trabajo a distancia,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7596&prmBoletin=7199-13,1,,,,,,,,,Primer Tramite,"0,4",4,,,4,,,,1,4,,,
100,Trabajo y previsión social,Perfeccionar los multifondos,"En primer lugar se perfeccionará el diseño de multifondos y asignaciones por defecto a la luz de la evaluación de los riesgos financieros y las percepciones políticas manifestadas en la reciente crisis. Ello, para incrementar la participación de las personas en la elección de sus fondos",0%,1,,,,Relativo al perfeccionamiento del diseño de multifondos y asignaciones,,,,,,,,,,,,0,,,,0,,,,,1,,,
101,Trabajo y previsión social,Manual del cotizante,Se propone exigir a cada AFP publicar un manual de recomendaciones de inversión a los afiliados y prohibir que la publicidad de una AFP contradiga lo afirmado por su manual,0%,1,,,,Sobre la exigencia de un manual de recomendaciones de inversión por parte de las AFP,,,,,,,,,,,,0,,,,0,,,,,1,,,
102,Trabajo y previsión social,Perfeccionamiento del subsidio provisional,"Se propone un perfeccionamiento al actual subsidio previsional, de forma que opere más gradualmente a medida que el beneficiario integre hogares de mayores ingresos y aumente el monto promedio de la renta del capital que haya tenido él y su grupo familiar en los últimos tres años",0%,1,,,,Relativo al perfeccionamiento del subsidio previsional,,,,,,,,,,,,0,,,,0,,,,,1,,,
