uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_del_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
37,Economía y Comercio,Simplificación para la creación de empresas,,,,100%,4,6981-03,Facilita la constitución y funcionamiento de nuevas empresas,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7384&prmBoletin=6981-03,,,,,,,,1,,Promulgado,1,6,,3,9,,,,1,4,,El proyecto de ley menciona instancias para agilizar la creación de empresas,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
42,Economía y Comercio,Fomento de la Inversión en Ciencia y tecnología,Se simplificará y potenciará el crédito tributario a la inversión privada en el área (Ciencia y tecnología),100%,3,,,7503-19,"Modifica ley N° 20.241, que establece un incentivo tributario, a la inversión privada en investigación y desarrollo",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7871&prmBoletin=7503-19,,,,,,,,1,,Promulgado,1,4,11,2,17,,,1,,3,,"Establece incentivos tributarios y créditos, pero no menciona el aumento del 0,7% al 1,5%",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es parcialmente coherente con la promesa realizada
44,Economía y Comercio,"Estimulacion a la micro, pequeña y mediana empresa","Se estimulará la inversión y capitalización de las micro, pequeñas y medianas empresas, ampliando el sistema vigente del artículo 14 bis de la ley de renta que permite a estas empresas ser gravadas solo sobre la base de las utilidades retiradas. Extenderá en plenitud este mecanismo para empresas que vendan hasta 25.000 uf al año, y de manera gradual para aquellas que vendan hasta 100.000 uf al año ",100%,4,,,8488-05,Perfecciona la legislación tributaria y financia la reforma educacional.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8889&prmBoletin=8488-05,,,,,,,,1,,Promulgado,1,,1,2,3,,,,1,4,,La promesa se cumple por medio de las modificaciones introducidas a través de la Reforma Tributaria.,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
45,Economía y Comercio,Reducción carga tributaria de PYMES,"Se reducirá la carga tributaria de las PYMES.  Esta reforma reducirá el Impuesto de Timbres y Estampillas a 0,6%",100%,4,100%,4,8488-05,Perfecciona la legislación tributaria y financia la reforma educacional.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8889&prmBoletin=8488-05,,,,,,,,1,,Promulgado,1,,1,2,3,,,,1,4,,El proyecto establece una baja al impuesto de timbres y estampillas para apoyar a las PyMES,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
45,Economía y Comercio,Reducción carga tributaria de PYMES,,,,100%,4,6927-05,Modifica diversos cuerpos legales para obtener recursos destinados al financiamiento de la reconstrucción del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7328&prmBoletin=6927-05,,,,,,,,1,,Promulgado,1,,3,3,6,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
46,Economía y Comercio,Modificación Ley de Quiebra,Se modificará la Ley de Quiebras para simplificar el proceso ,100%,4,100%,4,8324-03,"Sustituye el régimen concursal vigente por una ley de reorganización y liquidación de empresas y personas, y perfecciona el rol de la Superintendencia del ramo.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8722&prmBoletin=8324-03,,,,,,,,1,,Promulgado,1,2,27,2,31,,,,1,4,,"El proyecto de ley boletín 8492, que establece la quiebra como causal de término del contrato de trabajo y adecua normas de otras leyes, tiende al cumplimiento de esta promesa, y fue presentado el 6 de agosto del 2012. Por lo demás fue refundido con el boletín 8324 que sustituye el régimen concursal vigente por una ley de reorganización y liquidación de empresas y personas, y perfecciona el rol de la Superintendencia del ramo","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
46,Economía y Comercio,Modificación Ley de Quiebra,,,,100%,4,8492-13,Establece la quiebra como causal de término del contrato de trabajo y adecua normas de otras leyes.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8891&prmBoletin=8492-13,,,,,,,,1,,Promulgado,1,7,16,3,26,,,,1,4,,"El proyecto de ley boletín 8492, que establece la quiebra como causal de término del contrato de trabajo y adecua normas de otras leyes, tiende al cumplimiento de esta promesa, y fue presentado el 6 de agosto del 2012. Por lo demás fue refundido con el boletín 8324 que sustituye el régimen concursal vigente por una ley de reorganización y liquidación de empresas y personas, y perfecciona el rol de la Superintendencia del ramo","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
48,Economía y Comercio,Sistema de depreciación acelerada,Se introducirá hasta el 2012 un sistema de depreciación acelerada,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
50,Economía y Comercio,Reformulación normativa PYME,"Promoveremos un Nuevo Estatuto para las PYMES, que fomente su desarrollo y asegure que toda la legislación  y  regulación  que  se  proponga  en  el  futuro  tome  en consideración el impacto en ellas",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
52,Economía y Comercio,Incentivo a la organización de consumidores,"Se continuará promoviendo la organización de los consumidores, para que éstos defiendan sus derechos, y perfeccionando la legislación para que accedan a los Tribunales de Justicia cuando así lo requiera el caso",100%,3,,,7256-03,Relativo al procedimiento aplicable para la protección del interés colectivo o difuso de los consumidores,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7657&prmBoletin=7256-03,,,,,,,,1,,Promulgado,1,1,3,,4,,,1,,3,,"Establece un impulso a los derechos de los consumidores, pero no en específico a las organizaciones de consumidores",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es parcialmente coherente con la promesa realizada
53,Economía y Comercio,Creación del SERNAC financiero,Se creará el SERNAC financiero ,100%,4,,,7094-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los Consumidores, para dotar de atribuciones en materias financieras, entre otras, al Servicio Nacional del Consumidor.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7491&prmBoletin=7094-03,,,,,,,,1,,Promulgado,1,6,13,6,25,,,,1,4,,Crea el SERNAC financiero y establece mecanismos para la protección de los consumidores de servicios financieros,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
90,Economía y Comercio,Sustentabilidad de recursos hidrobiologicos,"Se prolongará y perfeccionará el mecanismo de cuotas individuales transferibles, de manera de preservar nuestros recursos pesqueros y aprovechar su potencial de desarrollo. Se extenderá la aplicación de estos instrumentos al sector de pesca artesanal para  potenciar su desarrollo y se buscarán los mecanismos de apoyo y fomento a la asociatividad de este sector, fomentando así una cultura emprendedora",100%,4,100%,4,8091-21,"Modifica en el ámbito de la sustentabilidad de recursos hidrobiológicos, acceso a la actividad pesquera industrial y artesanal y regulaciones para la investigación y fiscalización, la ley General de Pesca y Acuicultura contenida en la ley N° 18.892 y sus modificaciones.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8488&prmBoletin=8091-21,,,,,,,,1,,Promulgado,1,6,6,5,17,,,,1,4,,"El proyecto de ley boletín 8091, que modifica en el ámbito de la sustentabilidad de recursos hidrobiológicos, acceso a la actividad pesquera industrial y artesanal y regulaciones para la investigación y fiscalización, ltiende al cumplimiento de la promesa, pero no garantiza mayor inversión en el sector pesquero
El boletín 8389 intenta fortalecer la pesca artesanal. 
El boletín 7255 establece las cuotas pesqueras","La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
90,Economía y Comercio,Sustentabilidad de recursos hidrobiologicos,,,,100%,4,8389-03,"Sobre asociación de pescadores artesanales, inscripción de recursos marinos y extensión de área de operación artesanal.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8788&prmBoletin=8389-03,,,,,,,,1,,Promulgado,1,,3,,3,,,,1,4,,"El proyecto de ley boletín 8091, que modifica en el ámbito de la sustentabilidad de recursos hidrobiológicos, acceso a la actividad pesquera industrial y artesanal y regulaciones para la investigación y fiscalización, ltiende al cumplimiento de la promesa, pero no garantiza mayor inversión en el sector pesquero
El boletín 8389 intenta fortalecer la pesca artesanal. 
El boletín 7255 establece las cuotas pesqueras","La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
90,Economía y Comercio,Sustentabilidad de recursos hidrobiologicos,,,,100%,4,7255-03,Sobre cuota anual de captura en materia pesquera,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7656&prmBoletin=7255-03,,,,,,,,1,,Promulgado,1,,4,1,5,,,,1,4,,"El proyecto de ley boletín 8091, que modifica en el ámbito de la sustentabilidad de recursos hidrobiológicos, acceso a la actividad pesquera industrial y artesanal y regulaciones para la investigación y fiscalización, ltiende al cumplimiento de la promesa, pero no garantiza mayor inversión en el sector pesquero
El boletín 8389 intenta fortalecer la pesca artesanal. 
El boletín 7255 establece las cuotas pesqueras","La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
132,Economía y Comercio,Incentivo al empleo y capacitación en turismo ,Se flexibilizará la legislación para favorecer el empleo y capacitación del sector,70%,4,,,8770-23,Adapta normas laborales al ámbito del turismo.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9177&prmBoletin=8770-23,,,,1,,,,,,Segundo Tramite,"0,7",,13,,13,,,,1,4,,Fomenta el empleo y la capacitación en el sector de turismo,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
133,Economía y Comercio,Impulso a la industria del turismo,Se estimulará tributariamente a las pequeñas y medianas empresas del sector turismo,100%,2,,,7528-06,Fomenta el Mercado de Cruceros Turísticos,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7919&prmBoletin=7528-06,,,,,,,,1,,Promulgado,1,3,5,1,9,,1,,,2,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es marginalmente coherente con la promesa realizada
137,Economía y Comercio,Creación del Consejo Nacional PYME,"Se creará un Consejo Nacional PYME, que dependerá del nuevo Ministerio del Emprendimiento y la Innovación, que tendrá como tarea coordinar todos los programas existentes",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
54,Educación,Bono docente,"Se premiará con bonos adicionales a los docentes que desarrollen labores en escuelas, liceos o colegios con un número alto de niños o jóvenes vulnerables ",0%,3,,,7784-04,Crea el examen de excelencia profesional docente y la asignación de excelencia pedagógica inicial,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8180&prmBoletin=7784-04,,,,,,,,,1,Rechazado Retirado,0,5,,,5,,,1,,3,,"Establece una bonificación para profesores de excelencia. Sin embargo, no señala la obligatoriedad de que éstos trabajen en colegios públicos",No se conocen proyectos de ley asociados a esta promesa,El proyecto de ley es parcialmente coherente con la promesa realizada
55,Educación,Examen de excelencia y calidad docente,"Elevaremos las exigencias a los establecimientos, a sus directivos, docentes y alumnos, lo que será coordinado por la nueva Agencia de Calidad de la Educación. Se establecerá un examen no obligatorio de habilitación. Aquellos egresados que no hayan rendido examen de habilitación o que no tengan una buena calificación, y que ingresen a la profesión docente, quedarán facultados para ejercer la carrera sólo en forma condicional y deberán demostrar efectividad en la sala de clase",0%,1,0%,1,7784-04,Crea el examen de excelencia profesional docente y la asignación de excelencia pedagógica inicial,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8180&prmBoletin=7784-04,,,,,,,,,1,Rechazado Retirado,0,,,,0,,,,,1,,Se menciona la creación del examen docente que no tiene características de obligatoriedad,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
55,Educación,Examen de excelencia y calidad docente,,,,0%,1,7327-04,Establece el examen de excelencia profesional docente.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7716&prmBoletin=7327-04,,,,,,,,,1,Rechazado Retirado,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
56,Educación,Nueva Carrera Docente,"Crearemos una nueva carrera docente que apoye a los profesores en su tarea de mejorar los aprendizajes y la formación de sus alumnos. El actual Estatuto Docente no lo permite, debido a que contiene excesivas rigideces",70%,4,,,8189-04,Establece el sistema de promoción y desarrollo profesional docente del sector municipal.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8584&prmBoletin=8189-04,,,,1,,,,,,Segundo Tramite,"0,7",14,7,1,22,,,,1,4,,El proyecto de Ley crea una Nueva Carrera Docente,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
57,Educación,Corporación de Educación de calidad municipal,"Proponemos la creación de Corporaciones de Educación de Calidad (CEC) a nivel comunal, las que tendrán como finalidad el mejoramiento de la calidad de la educación en esa comuna. El directorio de la Corporación será presidido por el Alcalde, siendo éste la autoridad máxima y por lo tanto el responsable de los respectivos resultados. El director ejecutivo de la corporación será seleccionado por méritos con criterios similares a los que utiliza el Sistema de Alta Dirección Pública",40%,3,,,8082-04,Crea las agencias públicas de educación local y establece otras normas de fortalecimiento de la educación estatal.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8482&prmBoletin=8082-04,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,1,,3,,Se menciona mecanismos municipales para mejorar la calidad de la educación pero queda ausente la creación de las Corporaciones de Educación de Calidad.,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
58,Educación,Ampliación y profundización de becas en educación superior,"Mejoraremos el sistema de becas aumentando su equidad horizontal y vertical, terminando con la discriminación en el financiamiento según la naturaleza jurídica de la institución de educación superior elegida por el alumno",80%,"3,3",40%,2,8369-04,Crea un sistema de financiamiento para la educación superior.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8766&prmBoletin=8369-04,1,,,,,,,,,Primer Tramite,"0,4",8,8,,16,,1,,,2,,Creación de un sistema de crédito subsidiado,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
58,Educación,Ampliación y profundización de becas en educación superior,,,,100%,4,7898-04,Otorga beneficios a los deudores del crédito con garantía estatal y modifica la ley N° 20.027.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8293&prmBoletin=7898-04,,,,,,,,1,,Promulgado,1,3,14,2,19,,,,1,4,,"Otorga beneficios a los deudores del crédito con garantía estatal y modifica la ley N° 20.027, tienden en conjunto al cumplimiento de la promesa.","La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
58,Educación,Ampliación y profundización de becas en educación superior,,,,100%,4,7874-04,Proyecto de ley sobre reprogramación de créditos universitarios.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8269&prmBoletin=7874-04,,,,,,,,1,,Promulgado,1,,8,4,12,,,,1,4,,El proyecto reprograma a los deudores del crédito universitario. Sirve como complemento al boletín 8369 y 7898,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
59,Educación,"Corporación de IP, CFT y Universidades","Existirá una entidad que agrupará a los institutos profesionales y centros de formación técnica, y otra que agrupará a las universidades",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
60,Educación,Nueva regulación en subvenciones escolares,Crear una institucionalidad para que expertos definan periódicamente los niveles y valores que deben alcanzar los diferentes tipos de subvenciones y se promoverá una subvención a la calidad que premie a los establecimientos y equipos docentes que se destaquen a nivel país,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
61,Educación,Reforma a las universidades del Estado,"En el caso de las universidades estatales se realizará una reforma que les  permita  eliminar  trabas  burocráticas  y  flexibilizar  su  gestión académica, financiera y administrativa, de forma hacerlas plenamente competitivas. Se les permitirá acceder a mayores recursos para  inversión  utilizando  mecanismos  como  las  concesiones  de obras, y se las dotará de nuevos gobiernos corporativos para aumentar su vinculación con entidades regionales, sectores productivos  y  otros,  logrando  así  un  mayor  acceso  a  financiamiento  a través de proyectos y donaciones",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
62,Educación,Ampliación de la subvención escolar,Duplicaremos gradualmente la subvención escolar por niño atendido,70%,3,100%,3,7187-04,"Modifica ley N° 20.248, de subvención escolar preferencial.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7585&prmBoletin=7187-04,,,,,,,,1,,Promulgado,1,1,20,2,23,,,1,,3,,"Se incluye en los dos proyectos la suvbención preferencial para los más vulnerables. En particular, en el segundo se incorpora la subvención para 3° y 4° año de Enseñanza Media. Se debe considerar que no existe un proyecto de ley específico que estupule la Subvención Universal para los niños desde los tres años, pero se comprende de que es parte de un objetivo gradual","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
62,Educación,Ampliación de la subvención escolar,,,,40%,3,9176-04,"Incorpora al 3° y 4° año de enseñanza media, al régimen de Subvención Escolar Preferencial, a contar del año 2014.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9582&prmBoletin=9176-04,1,,,,,,,,,Primer Tramite,"0,4",,,3,3,,,1,,3,,"Se incluye en los dos proyectos la suvbención preferencial para los más vulnerables. En particular, en el segundo se incorpora la subvención para 3° y 4° año de Enseñanza Media. Se debe considerar que no existe un proyecto de ley específico que estupule la Subvención Universal para los niños desde los tres años, pero se comprende de que es parte de un objetivo gradual","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
64,Educación,Combate a la violencia escolar,"Se  apoyará  las  iniciativas  destinadas  a  mejorar  el  clima  al interior  de  las  escuelas,  liceos  y  colegios  del  país",100%,4,,,7123-04,Sobre violencia escolar,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7525&prmBoletin=7123-04,,,,,,,,1,,Promulgado,1,10,,2,12,,,,1,4,,Se establecen mecanismos para combatir la violencia escolar,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
135,Educación,Subvención preescolar,Una subvención de educación preescolar en función de requisitos como asistencia,100%,4,,,8070-04,Aumenta las subvenciones del Estado en los establecimientos educacionales.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8481&prmBoletin=8070-04,,,,,,,,1,,Promulgado,1,,,,0,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
153,Educación,Fortalecimiento de la subvención escolar preferencial (SEP),La continuación y profundización de la subvención preferencial para los estudiantes de familias más desvalidas,100%,4,,,8070-04,Aumenta las subvenciones del Estado en los establecimientos educacionales.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8481&prmBoletin=8070-04,,,,,,,,1,,Promulgado,1,,13,2,15,,,,1,4,,"El proyecto de ley boletín 8070, que aumenta las subvenciones del Estado en los establecimientos educacionales, hace referencia al aumento de la subvención en educación media, por lo cual da cumplimiento a la promesa señalada.",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
154,Educación,Reforma a la selección de directivos escolares,"Se crearán comités de búsqueda para seleccionar a quienes, con habilidades de liderazgo, muestren las mejores condiciones para ser directores de establecimientos educacionales. Se pondrá término a los cargos vitalicios de directores, evolucionándose hacia un sistema de selección por méritos. Los concursos para seleccionar directores se perfeccionarán, elevando los requisitos para los participantes y profesionalizando la integración del comité de búsqueda",100%,4,,,7329-04,Sobre Calidad y Equidad de la Educación.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7719&prmBoletin=7329-04,,,,,,,,1,,Promulgado,1,,2,2,4,,,,1,4,,Se crean mecanismos para la elección de directores y se les da incentivos a aquellos de excelencia. ,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
155,Educación,Incetivos a la remuneración docente,"Se diseñarán mecanismos para mejorar las remuneraciones vinculadas a los aprendizajes de los estudiantes, y para relacionar el nivel de remuneraciones con la necesidad de atraer a la profesión docente a personas de altas habilidades. La actual normativa se modificará gradualmente. Aquellos profesores que no tengan la calificación adecuada contarán con los mecanismos para acceder a programas de reentrenamiento",100%,4,,,7329-04,Sobre calidad y equidad de la educación.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7719&prmBoletin=7329-04,,,,,,,,1,,Promulgado,1,,,,0,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
156,Educación,Reforma en la asignación de becas,"Para lograr igualdad de oportunidades en el acceso a la educación superior se perfeccionará el sistema de financiamiento estudiantil ampliando su acceso, eliminando las discriminaciones injustificadas  y  focalizando  las  becas  en  los  sectores  de  menores ingresos y para aquellas carreras de mayor retorno social, incluyendo especialmente las pedagogías",40%,4,40%,4,7961-04,Sobre calidad y financiamiento de la educación.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8358&prmBoletin=7961-04,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
156,Educación,Reforma en la asignación de becas,,,,40%,4,8369-04,Crea un sistema de financiamiento para la educación superior.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8766&prmBoletin=8369-04,1,,,,,,,,,Primer Tramite,"0,4",8,,,8,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
8,Energía,Reforma en concesiones Geotérmicas,"Se perfeccionará la regulación sobre concesiones en materia geotérmica, promocionando la inversión, pero exigiendo el respeto por el medio ambiente y la compatibilización con el desarrollo turístico",40%,3,,,7162-08,"Introduce modificaciones a ley N° 19.657, sobre concesiones de energía geotérmica",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7564&prmBoletin=7162-08,1,,,,,,,,,Primer Tramite,"0,4",22,,,22,,,1,,3,,"Se cumple con lo requerido respecto a las concesiones geotérmicas, la inversión, el respeto por el medio ambiente pero no menciona la compatibilización con el desarrollo turístico",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
9,Energía,Reforma ENAP,"Mejoraremos el Gobierno corporativo de ENAP y proveeremos a la compañía de mecanismos para captar los recursos que le permitan aumentar sus niveles de inversión, eficiencia y estándares de calidad en sus productos",0%,1,,,,Provee a ENAP de mecanismos que le permitan  aumentar sus niveles de inversión y estándares de calidad en sus productos,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
134,Energía,Certificación de calidad del transporte público,"En el transporte se implementará un esquema de certificación y etiquetado con incentivos tributarios diferenciados sobre la base de la eficiencia energética y emisiones de los vehículos, además de su valor comercial",0%,1,,,,Certifica eficiencia energética y emisiones del transporte público,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
81,Estado,Agencia Autónoma de calidad de políticas públicas,"Se creará la Agencia Autónoma de Calidad de las Políticas Públicas, que cumplirá la tarea de evaluar en forma ex post las políticas y programas desarrollados por las instituciones estatales",0%,1,,,9247-31,Evaluación de las Políticas Públicas,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9659&prmBoletin=9247-31,,,,,,,,,1,Rechazado Retirado,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
82,Estado,Alta Dirección Pública en Superintendencia,Se introducirá el sistema de la Alta Dirección Pública (ADP) para la selección de los altos cargos de las superintendencias,40%,2,,,9084-05,"Perfecciona la gestión en el sector público, mediante nuevas herramientas de gestión y el mejoramiento del Sistema de Alta Dirección Pública.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9486&prmBoletin=9084-05,1,,,,,,,,,Primer Tramite,"0,4",5,,,5,,1,,,2,,"El proyecto no incluye específicamente a las superintendencias, sino que menciona la incorporación de la Superintendencia de Educación Superior",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es marginalmente coherente con la promesa realizada
83,Estado,Reforma al gobierno corporativo de empresas del Estado,Se reformarán los gobiernos corporativos de todas las empresas estatales sacando de sus directorios a ministros de Estado o a representantes de intereses sectoriales,40%,4,,,9083-05,Introduce perfeccionamientos en los regímenes de gobierno corporativo de las empresas del Estado y de aquellas en que éste tenga participación.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9487&prmBoletin=9083-05,1,,,,,,,,,Primer Tramite,"0,4",5,,,5,,,,1,4,,Establece gobiernos corporativos,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
84,Estado,Incentivo a funcionarios destacados,Se otorgarán incentivos con remuneración variable a los funcionarios destacados,100%,4,100%,4,8264-06,Establece la obligación de las autoridades del Congreso Nacional a rendir una cuenta pública anual.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8646&prmBoletin=8264-06,,,,,,,,1,,Promulgado,1,,,2,2,,,,1,4,,"El boletín 8264 establece incentivos para los funcionarios en general, mientras que el 8447 y 8686 en el área de educación, el 8706 en los funcionarios públicos y tanto el 8661 y 8660 parta funcionarios de salud.","La promesa cuenta con 6 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 6 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
