uid,area,titulo,promesa,avance_total,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,ja_porque
61,Educación,Creación del Servicio Nacional de Educación Pública y Servicios locales,"La administración de los establecimientos municipales será reemplazada por una nueva institucionalidad pública, cuya estructura contempla la creación de un Servicio Nacional de Educación Pública descentralizado y Servicios Locales de Educación Pública, que mantengan la cercanía con la comunidad educativa",100%,,10368-04,Crea el Sistema de Educación Pública y modifica diversos cuerpos legales.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10782&prmBoletin=10368-04,,,,,,,,1,,Promulgado,1,15,14,10,39,El proyecto de ley asociado se encuentra publicado y es Ley de la República
62,Educación,Nueva Carrera Docente,"Estableceremos una carrera docente que, entre otros aspectos, defina mejores remuneraciones; introduzca incentivos y aumente gradualmente el número de horas de la jornada laboral docente que se destine a trabajo fuera del aula. La carrera docente debe instalar el desarrollo profesional y el desempeño de calidad como elemento central de la carrera y debe establecer la reducción gradual del número máximo de estudiantes por curso en la educación subvencionada",100%,,10008-04,Crea el Sistema de Desarrollo Profesional Docente y modifica otras normas,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10422&prmBoletin=10008-04,,,,,,,,1,,Promulgado,1,3,5,2,10,El proyecto de ley asociado se encuentra publicado y es Ley de la República
63,Educación,Establecimiento de la gratuidad universal en la Educación Superior,"Avanzaremos gradualmente en la gratuidad universal y efectiva de la educación superior, en un proceso que tomará 6 años",90%,,10783-04,Sobre Educación Superior,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11224&prmBoletin=10783-04,,,,,,,1,,,Aprobación Presidencial,"0,9",14,10,8,32,El proyecto de ley asociado se encuentra en trámite de aprobación presidencial
64,Educación,Creación de la Subsecretaría de Educación Superior,"Modernizaremos la institucionalidad pública de la educación superior, creando la Subsecretaría de Educación Superior",90%,,10783-04,Sobre Educación Superior,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11224&prmBoletin=10783-04,,,,,,,1,,,Aprobación Presidencial,"0,9",14,9,6,29,El proyecto de ley asociado se encuentra en trámite de aprobación presidencial
65,Educación,Creación de la Superintendencia de Educación Superior,"(...) la Superintendencia de Educación Superior, con competencias claras y recursos necesarios para cumplir sus funciones, en especial, la fiscalización del uso de los recursos públicos, velar que se cumpla la prohibición de lucro",90%,,10783-04,Sobre Educación Superior,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11224&prmBoletin=10783-04,,,,,,,1,,,Aprobación Presidencial,"0,9",14,10,8,32,El proyecto de ley asociado se encuentra en trámite de aprobación presidencial
66,Educación,Creación de la Agencia de la Calidad de la Educación Superior,"y la Agencia de la Calidad de la Educación Superior, responsable de la acreditación y de velar por la calidad de la educación superior",90%,,10783-04,Sobre Educación Superior,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11224&prmBoletin=10783-04,,,,,,,1,,,Aprobación Presidencial,"0,9",14,10,8,32,El proyecto de ley asociado se encuentra en trámite de aprobación presidencial
67,Educación,Sobre el rol del Ministerio de Educación frente al cierre de instituciones de educación superior,"Frente a situaciones observadas de inviabilidad y cierre de establecimientos de educación superior, el Ministerio de Educación dispondrá de los instrumentos necesarios que permitan garantizar la continuidad de estudios de todos los estudiantes involucrados",100%,,9333-04,Crea el Administrador Provisional y Administrador de Cierre de Instituciones de Educación Superior y establece regulaciones en materia de administración provisional de sostenedores educacionales.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9743&prmBoletin=9333-04,,,,,,,,1,,Promulgado,1,,12,1,13,El proyecto de ley asociado se encuentra publicado y es Ley de la República
68,Educación,Nuevo Sistema de Acreditación de Instituciones de Educación Superior,"Estableceremos un nuevo sistema de acreditación de instituciones de educación superior. La acreditación, tanto institucional como por carreras, será obligatoria para todas las instituciones de educación superior (Universidades, IP y CFT)",90%,,10783-04,Sobre Educación Superior,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11224&prmBoletin=10783-04,,,,,,,1,,,Aprobación Presidencial,"0,9",14,10,8,32,El proyecto de ley asociado se encuentra en trámite de aprobación presidencial
69,Educación,Creación de Universidades Estatales en regiones de O'Higgins y Aysén,"Adicionalmente, crearemos universidades estatales regionales en donde actualmente no existen (Aysén y O´Higgins). En los primeros 100 días de Gobierno se enviará al Congreso el proyecto de ley de creación de estas nuevas universidades",100%,,9405-04,Crea Universidad Estatal de la Región del Libertador General Bernardo O`Higgins y Universidad Estatal de la Región de Aysén del General Carlos Ibáñez del Campo. ,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9814&prmBoletin=9405-04,,,,,,,,1,,Promulgado,1,4,6,3,13,El proyecto de ley asociado se encuentra publicado y es Ley de la República
70,Educación,Creación de Centros de Formación Técnica estatales en todas las regiones,"Crearemos Centros de Formación Técnica públicos, que tendrán presencia en todas las regiones",100%,,9766-04,Crea quince Centros de Formación Técnica estatales,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10170&prmBoletin=9766-04,,,,,,,,1,,Promulgado,1,2,24,4,30,El proyecto de ley asociado se encuentra publicado y es Ley de la República
41,Energía,Nuevas atribuciones para el Ministerio de Energia,Dotar al Ministerio de Energía de capacidades para el diseño de política y la planificación energética,100%,,9421-08,Modifica y perfecciona la ley que rige al Ministerio de Energía,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9831&prmBoletin=9421-08,,,,,,,,1,,Promulgado,1,,6,,6,El proyecto de ley asociado se encuentra publicado y es Ley de la República
72,Energía,Mejorar regulación de los sistemas de transmisión eléctrica,Mejor Regulación de la Transmisión Eléctrica. Realizaremos las modificaciones normativas necesarias para no desincentivar a empresas generadoras entrantes y promover la competencia que nos permita reducir los precios de la energía,100%,100%,9515-08,"Introduce modificaciones a la ley General de Servicios Eléctricos, perfeccionando el  sistema de licitaciones de suministro eléctrico para clientes sometidos a regulaciones de precios.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9924&prmBoletin=9515-08,,,,,,,,1,,Promulgado,1,1,5,1,7,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos"
72,Energía,Mejorar regulación de los sistemas de transmisión eléctrica,,,100%,10240-08,Establece nuevos sistemas de transmisión de energía eléctrica y crea un organismo coordinador independiente del sistema eléctrico nacional,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10660&prmBoletin=10240-08,,,,,,,,1,,Promulgado,1,,15,4,19,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos"
73,Energía,Fomento a las ERNC,Complementaremos la ley de fomento a las ERNC con un esquema de licitaciones de energía de las empresas distribuidoras para su consumo regulado que faciliten la participación de ERNC y se pueda cumplir con la meta de 20% en el 2025 rebajando los costos marginales en el corto plazo,100%,,9515-08,"Introduce modificaciones a la ley General de Servicios Eléctricos, perfeccionando el  sistema de licitaciones de suministro eléctrico para clientes sometidos a regulaciones de precios.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9924&prmBoletin=9515-08,,,,,,,,1,,Promulgado,1,1,5,1,7,El proyecto de ley asociado se encuentra publicado y es Ley de la República
75,Energía,Fortalecimiento del rol de ENAP en la estrategia energética de Chile,"Avanzaremos en una estrategia que lleve a incorporar decididamente a ENAP en la estrategia energética de Chile, la que debe incluir la capitalización de la empresa, la reforma al gobierno corporativo, la revisión del modelo de negocio, y los cambios en la ley de ENAP necesarios para permitir estas reformas",100%,,10545-08,Establece un nuevo gobierno corporativo de la Empresa Nacional del Petróleo,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10967&prmBoletin=10545-08,,,,,,,,1,,Promulgado,1,10,16,,26,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos"
76,Energía,Fortalecimiento del rol regulador de la Comisión Nacional de Energía,,,100%,9515-08,"Introduce modificaciones a la ley General de Servicios Eléctricos, perfeccionando el sistema de licitaciones de suministro eléctrico para clientes sometidos a regulaciones de precios",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9924&prmBoletin=9515-08,,,,,,,,1,,Promulgado,1,1,5,1,7,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos"
77,Energía,Fortalecimiento de los Centros de Despacho Económico de Carga (CDEC),"Daremos seguimiento estrecho a la implementación de las medidas de mayor autonomía y profesionalización de los CDEC, e implementaremos aquellos cambios adicionales que se requieran",100%,,10240-08,Nuevo sistema de transmisión de energía eléctrica y crea nuevo organismo coordinador independiente del sistema eléctrico nacional.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10660&prmBoletin=10240-08,,,,,,,,1,,Promulgado,1,,15,4,19,El proyecto de ley asociado se encuentra publicado y es Ley de la República
74,Equidad de género,Creación de fondo para la asociatividad y el liderazgo de mujeres,"Crear un Fondo Nacional para apoyar iniciativas que fortalezcan la asociatividad y 
liderazgo de las mujeres",100%,,9287-06,"Crea el Ministerio de la Mujer y la Equidad de Género, y modifica normas legales que indica.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9696&prmBoletin=9287-06,,,,,,,,1,,Promulgado,1,4,12,4,20,El proyecto de ley asociado se encuentra publicado y es Ley de la República
78,Equidad de género,Creación del Ministerio de la Mujer,"Dentro de los primeros 100 días de Gobierno enviaremos al Congreso el proyecto de ley que crea el Ministerio de la Mujer, buscando situar la igualdad entre mujeres y hombres al más alto nivel en la agenda política",100%,,9287-06,"Crea el Ministerio de la Mujer y la Equidad de Género, y modifica normas legales que indica.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9696&prmBoletin=9287-06,,,,,,,,1,,Promulgado,1,4,12,4,20,El proyecto de ley asociado se encuentra publicado y es Ley de la República
79,Equidad de género,Despenalización de la interrupción voluntaria del embarazo en tres causales,"Esto incluye una ley de derechos sexuales y reproductivos acorde a las realidades y opciones de las personas; (...) y despenalización de la interrupción voluntaria del embarazo en caso de peligro de la vida de la madre, violación o inviabilidad del feto",100%,,9895-11,Regula la despenalización de la interrupción voluntaria del embarazo en tres causales,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10315&prmBoletin=9895-11,,,,,,,,1,,Promulgado,1,16,6,3,25,El proyecto de ley asociado se encuentra publicado y es Ley de la República
80,Equidad de género,Modificación de la actual Ley de Violencia Intrafamiliar,"Modificaremos la actual Ley de Violencia Intrafamiliar incorporando todo tipo de violencia de género, no sólo aquella que se vive dentro de las familias o entre cónyuges",40%,,11077-07,Sobre el derecho de las mujeres a una vida libre de violencia,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11592&prmBoletin=11077-07,1,,,,,,,,,Primer Tramite,"0,4",2,5,,7,El proyecto de ley asociado se encuentra en primer trámite constitucional
81,Equidad de género,Modificación de Ley de Igualdad de Remuneraciones,Modificaremos la ley de igualdad de remuneraciones para hacerla efectiva,40%,,11617-07,Para modificar la Constitución Política de la República.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=12132&prmBoletin=11617-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,El proyecto de ley asociado se encuentra en primer trámite constitucional
82,Equidad de género,Igualdad de participación de hombres y mujeres en instituciones políticas,"Dispondremos medidas de participación equilibrada de mujeres y hombres en el Congreso, las directivas de los partidos políticos, las instituciones públicas, en cargos directivos y directorios de empresas con participación del Estado, en el gabinete ministerial y gobiernos regionales",100%,100%,9326-07,Sustituye el sistema electoral binominal por uno de carácter proporcional inclusivo y fortalece la representatividad del Congreso Nacional,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9742&prmBoletin=9326-07,,,,,,,,1,,Promulgado,1,4,11,4,19,El proyecto de ley asociado se encuentra publicado y es Ley de la República
76,Energía,Fortalecimiento del rol regulador de la Comisión Nacional de Energía,"En el sector eléctrico la Comisión Nacional de Energía (CNE) ha ejercido un rol cada vez más débil en su papel de regulador. Es urgente fortalecer a la CNE, en especial, fortaleciendo su capacidad reguladora",100%,100%,10240-08,Nuevo sistema de transmisión de energía eléctrica y crea nuevo organismo coordinador independiente del sistema eléctrico nacional.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10660&prmBoletin=10240-08,,,,,,,,1,,Promulgado,1,,15,4,19,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos"
82,Equidad de género,Igualdad de participación de hombres y mujeres en instituciones políticas,,,100%,10154-07,Fortalece el carácter público y democrático de los partidos políticos y facilita su modernización.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10581&prmBoletin=10154-07,,,,,,,,1,,Promulgado,1,,15,2,17,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos "
33,Estado,Autonomía regional en materia territorial,Nuestro compromiso es dotar al gobierno regional de autonomía política y administrativa especialmente en las materias relacionadas con el desarrollo y competitividad del territorio,100%,,7963-06,Relativo al fortalecimiento de la regionalización del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,,,,,,,,1,,Promulgado,1,19,16,3,38,El proyecto de ley asociado se encuentra publicado y es Ley de la República
35,Estado,Cooperación entre Gobierno Regional y Municipalidades,"Se deberán realizar los cambios normativos necesarios para establecer las condiciones que permitan que los Gobiernos Regionales tengan relaciones más estrechas de cooperación con las Municipalidades de la Región para el cumplimiento de objetivos comunes o complementarios, incluyendo presupuestos de inversión",100%,,7963-06,Relativo al fortalecimiento de la regionalización del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,,,,,,,,1,,Promulgado,1,19,16,3,38,El proyecto de ley asociado se encuentra publicado y es Ley de la República
36,Estado,Participación ciudadana en regiones,"Adicionalmente, realizaremos las modificaciones tendientes a mejorar los mecanismos de participación, transparencia y control ciudadano regional",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
37,Estado,Creación de Sistemas de Estadísticas Regionales,"Por otra parte, resulta fundamental que cada región cuente con un sistema de estadísticas que permita registrar el comportamiento en todos los ámbitos de intervención de los gobiernos regionales y posibilite el establecimiento de líneas base, información para el diseño, seguimiento y evaluación de políticas y programas, y para establecer los indicadores que permitan objetividad en las rendiciones de cuentas",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
38,Estado,Extensión del Sistema de Alta Dirección Pública a regiones,"En la misma línea, extenderemos el Sistema de Alta Dirección Pública a cargos regionales, con el consecuente atractivo de remuneraciones",100%,,10164-05,Perfecciona al Sistema de Alta Dirección Pública y Fortalece la Dirección Nacional del Servicio Civil,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10583&prmBoletin=10164-05,,,,,,,,1,,Promulgado,1,4,11,1,16,El proyecto de ley asociado se encuentra publicado y es Ley de la República
122,Estado,Creación de la Agencia de Concesiones,"Crearemos la Agencia de Concesiones, con personalidad jurídica propia, competencias y atribuciones. Esta agencia asesorará a los distintos ministerios, servicios y municipalidades que requieran ejecutar proyectos mediante el mecanismo de concesiones",100%,,10126-15,Crea la Dirección General de Concesiones de Obras Públicas y modifica las normas que señala,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10549&prmBoletin=10126-15,,,,,,,,1,,Promulgado,1,2,21,,23,El proyecto de ley asociado se encuentra publicado y es Ley de la República
123,Estado,Creación de la Dirección Nacional de Evaluación,"Para ello crearemos la Dirección Nacional de Evaluación, que tendrá la misión de contribuir al mejoramiento continuo de la calidad de las políticas, programas y proyectos públicos, a través de la incorporación de procesos de evaluación que asesoren la toma de decisiones",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
124,Estado,Institucionalización de la negociación colectiva en el sector público,"Para ello, evaluaremos la institucionalización de la negociación colectiva en el sector público, estudiando mecanismos que se hagan cargo de sus especiales particularidades",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
125,Estado,Perfeccionamiento del Sistema de Alta Dirección Pública,"Perfeccionamiento del Sistema de Alta Dirección Pública. A 10 años de su creación, el Sistema de Alta Dirección Pública ha confirmado su relevancia entre las reformas del Estado que se han implementado en nuestro país. Ha sido exitoso al implantar un exigente sistema de selección de altos directivos. Sin embargo, al producirse el cambio de gobierno en 2010 mostró debilidad, convirtiendo la facultad para despedir a los altos directivos en un mecanismo de remoción política. Por lo tanto, es indispensable incorporar mejoras al sistema",100%,,10164-05,Perfecciona al Sistema de Alta Dirección Pública y Fortalece la Dirección Nacional del Servicio Civil.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10583&prmBoletin=10164-05,,,,,,,,1,,Promulgado,1,4,11,1,16,El proyecto de ley asociado se encuentra publicado y es Ley de la República
126,Estado,Nuevo Sistema de Fideicomiso Ciego,"Implementaremos un sistema de fideicomiso ciego para las nuevas autoridades, sin esperar la aprobación del proyecto de ley que se discute actualmente en el Congreso, y el cual fortaleceremos y aceleraremos",100%,,7616-06,Probidad en la Función Pública,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8012&prmBoletin=7616-06,,,,,,,,1,,Promulgado,1,5,10,4,19,El proyecto de ley asociado se encuentra publicado y es Ley de la República
127,Estado,Perfeccionamiento de normativa que regula conflictos de interés,Además profundizaremos la normativa que regula el conflicto de interés en las funciones posteriores al ejercicio de cargos públicos,40%,,10140-07,"Previene y sanciona los conflictos de intereses, y modifica normas sobre inhabilidades e incompatibilidades en el ejercicio de la función pública.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10563&prmBoletin=10140-07,1,,,,,,,,,Primer Tramite,"0,4",24,1,,25,El proyecto de ley asociado se encuentra en primer trámite constitucional
128,Estado,Perfeccionamiento de declaraciones de patrimonio e intereses de autoridades públicas,Perfeccionaremos las declaraciones de patrimonio e intereses de las autoridades públicas a fin de que constituyan efectivamente un mecanismo de transparencia y fiscalización ciudadana,100%,,7616-06,Probidad en la Función Pública,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8012&prmBoletin=7616-06,,,,,,,,1,,Promulgado,1,5,10,4,19,El proyecto de ley asociado se encuentra publicado y es Ley de la República
129,Estado,Perfeccionamiento del marco institucional de las empresas del Estado,"Vamos a perfeccionar el marco institucional de las empresas del Estado y de aquellas en que éste tenga participación, fortaleciendo sus gobiernos corporativos, para que estas empresas logren aumentar su transparencia y capacidad estratégica, mejorando la calidad de la gestión y la supervisión de las mismas",40%,,11485-05,Crea el Servicio de Empresas Públicas y perfecciona los gobiernos corporativos de las empresas del Estado y de aquellas en que este tenga participaciónea ,https://www.camara.cl/pley/pley_detalle.aspx?prmID=12001&prmBoletin=11485-05,1,,,,,,,,,Primer Tramite,"0,4",,,,0,El proyecto de ley asociado se encuentra en primer trámite constitucional
130,Estado,Perfeccionamiento de Proyecto de Ley que moderniza el INE,"Para lograr lo anterior perfeccionaremos el proyecto de ley que moderniza el INE, haciendo un verdadero esfuerzo en términos de su fortalecimiento institucional",70%,,10372-03,Crea una nueva institucionalidad del sistema estadístico nacional.                                       x,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10795&prmBoletin=10372-03,,,,1,,,,,,Segundo Tramite,"0,7",8,5,,13,El proyecto de ley asociado se encuentra en segundo trámite constitucional
131,Estado,Modernización de Cancillería,"Para el cumplimiento de los objetivos señalados, se debe instaurar una nueva diplomacia que exige una Cancillería moderna, con flexibilidad y capacidad de respuesta a los desafíos del siglo XXI, contando con un personal especializado y una carrera funcionaria basada en capacidades y mérito, acompañada de un diseño y visión estratégica que genere el ya mencionado Sistema Nacional de Política Exterior",90%,,6106-10,Modifica diversos cuerpos legales con el objeto de modernizar el ministerio de Relaciones Exteriores.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=6493&prmBoletin=6106-10,,,,,,1,,,,Tribunal Constitucional,"0,9",,,,0,El proyecto de ley asociado se encuentra en trámite de aprobación presidencial
132,Estado,Fortalecimiento de la autonomía Municipal,"En materia Institucional, el objetivo estratégico es que los municipios pasen de cumplir una función exclusivamente de administración, a la constitución de verdaderos Gobiernos Locales, ampliando las actuales funciones que desarrollan y entregándoles un mayor grado de autonomía en la gestión. Esto es posible, mediante el traspaso de competencias, recursos propios, autonomía administrativa y facultades",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
133,Estado,Mejoras a los Consejos Comunales de Organizaciones de la Sociedad Civil,"Debemos perfeccionar y ampliar los mecanismos de participación comunal, mejorando la legislación que establece los Consejos Comunales de Organizaciones de la Sociedad Civil",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
134,Estado,Perfeccionamiento de mecanismos de participación Municipal,"Debemos perfeccionar y ampliar los mecanismos de participación comunal, (...) estableciendo como política pública los Fondos Concursables y presupuestos participativos",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
136,Estado,Regulación de consultas ciudadanas y plebiscitos,"Debemos perfeccionar y ampliar los mecanismos de participación comunal, (...) mejorando la regulación sobre consultas ciudadanas y plebiscitos",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
137,Estado,Fortalecimiento del Concejo Municipal,"Debemos fortalecer el Concejo Municipal, entregándole mayores facultades, atribuciones y también responsabilidades y otorgarles a los concejales la responsabilidad de acompañar y monitorear una o más áreas del quehacer municipal con la obligación de rendir cuentas",100%,,10057-06,Modifica disposiciones aplicables a los funcionarios municipales y entrega nuevas competencias a la Subsecretaría de Desarrollo Regional y Administrativo.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10479&prmBoletin=10057-06,,,,,,,,1,,Promulgado,1,,14,3,17,El proyecto de ley asociado se encuentra publicado y es Ley de la República
138,Estado,Perfeccionamiento de atribuciones de alcaldes en materia de gestión de personal,"Sobre la dotación y el estatuto jurídico de los funcionarios municipales se propone retomar el debate sobre el Art. 121 de la constitución que permite a los alcaldes descentralizar la gestión de personal de acuerdo a las particularidades de cada municipio, impulsando la norma legal que otorgue la facultad de revisar la estructura de plantas. La discusión sobre el Art. 121, debe incorporar la revisión de las normas laborales de los funcionarios municipales, con el debido resguardo de la carrera funcionaria y participación de todos los estamentos, permitiendo que éstos trabajen en condiciones de dignidad y de resguardo de sus derechos como trabajadores",100%,,10057-06,Modifica disposiciones aplicables a los funcionarios municipales y entrega nuevas competencias a la Subsecretaría de Desarrollo Regional y Administrativo.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10479&prmBoletin=10057-06,,,,,,,,1,,Promulgado,1,,14,3,17,El proyecto de ley asociado se encuentra publicado y es Ley de la República
139,Estado,Estudiar compensaciones a los municipios por exenciones tributarias,"Estudiar compensaciones, con cargo al presupuesto nacional, por las exenciones de diversos tributos de beneficio municipal, por ejemplo, por exención del pago de los derechos de aseo, del pago de contribuciones, o por la construcción de viviendas sociales, materias que gravan en mayor medida a los municipios más pobres del país",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
140,Estado,Perfeccionar la Ley de Rentas Municipales,"Corregir, mediante una modificación a la Ley de Rentas Municipales, las discriminaciones e injusticias que existen, en particular para que los grandes contribuyentes financien adecuadamente las prestaciones y servicios que reciben de los municipios",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
141,Estado,Asegurar financiamiento de nuevas atribuciones de municipios,Asegurar normativamente que cualquier nueva función o tarea que se le asigne a los municipios deberá contemplar el financiamiento respectivo,0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
89,Infancia y Juventud,Nueva Ley de Protección Integral a los Derechos de la Infancia y la Adolescencia,"Enviaremos un proyecto de Ley de Protección Integral a los Derechos de la Infancia y la Adolescencia, marco jurídico de reconocimiento de todos los derechos consagrados en la Convención de derechos del Niño y establecimiento de garantías a todos los niños, niñas y adolescentes, sin discriminación alguna. Se establecerán los mecanismos de exigibilidad de los derechos. Esta Ley derogará la actual Ley de Menores, N° 16.628",70%,,10315-18,Sistema de garantías de los derechos de la niñez,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10729&prmBoletin=10315-18,,,,1,,,,,,Segundo Tramite,"0,7",8,38,1,47,El proyecto de ley asociado se encuentra en primer trámite constitucional
90,Infancia y Juventud,Reforma a los sistemas de protección de la Infancia y Adolescencia,"Implicará reformar (...) la Ley N°20.032, fortaleciendo las competencias del Estado para una actuación efectiva y eficaz en materia de protección especial (...) transformado al SENAME en el Servicio Nacional de Protección de Menores, dependiente del Ministerio de Desarrollo Social",40%,,11176-07,Crea el Servicio Nacional de Protección Especializada de Niños y Niñas y modifica normas legales que indica,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11691&prmBoletin=11176-07,1,,,,,,,,,Primer Tramite,"0,4",11,1,,12,El proyecto de ley asociado se encuentra en primer trámite constitucional
92,Infancia y Juventud,Reforma al sistema de adopción de menores,Implicará reformar (...) la Ley N° 19.620 que dicta normas sobre adopción de menores. La actual ley de Adopción presenta vacíos que ponen en disputa el interés superior del niño y otros intereses,40%,,9119-18,Reforma integral al sistema de adopción en Chile,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9535&prmBoletin=9119-18,1,,,,,,,,,Primer Tramite,"0,4",13,2,,15,El proyecto de ley asociado se encuentra en primer trámite constitucional
95,Infancia y Juventud,Creación de la Subsecretaría de la Juventud,Crearemos en el Ministerio de Desarrollo Social una Subsecretaría de la Juventud,0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
23,Justicia y DDHH,Creación de la Defensoria del Pueblo,Impulsaremos la creación de la Defensoría del Pueblo u Ombudsman,0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
27,Justicia y DDHH,Reconocimiento del valor de los tratados internacionales sobre Derechos Humanos,"Reconoceremos con el máximo valor en la Constitución, los tratados y convenciones internacionales sobre derechos humanos y, en especial, incorporaremos una norma que establezca que, en toda interpretación constitucional o legal, deben primar dichos tratados o convenciones",40%,,9748-07,"Modifica la Constitución Política de la República para establecer que los crímenes y delitos de guerra, lesa humanidad y genocidio no puedan prescribir ni ser amnistiados.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10193&prmBoletin=9748-07,1,,,,,,,,,Primer Tramite,"0,4",30,12,,42,El proyecto de ley asociado se encuentra en primer trámite constitucional
28,Justicia y DDHH,Impunidad en crímenes contra los Derechos Humanos,"Impulsaremos medidas legislativas y administrativas que impidan la impunidad en materia de DDHH, tales como impedir toda aplicación en los juicios sobre Crímenes de Lesa Humanidad del D.L. N°2.191, de Amnistía de 1978, y de las normas que regulan la prescripción en materia de delitos comunes o de la prescripción en materia de responsabilidades civiles",55%,40%,9773-07,"Adecua la ley penal en materia de amnistía, indulto y prescripción de la acción penal y la pena a lo que dispone el derecho internacional respecto de los delitos de genocidio, de lesa humanidad o de guerra.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10192&prmBoletin=9773-07,1,,,,,,,,,Primer Tramite,"0,4",33,7,,40,"La promesa cuenta con 4 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos"
28,Justicia y DDHH,Impunidad en crímenes contra los Derechos Humanos,,,70%,6422-07,Establece ley interpretativa que adecua la legislación penal chilena a los tratados internacionales en materia de derechos humanos,https://www.camara.cl/pley/pley_detalle.aspx?prmID=6821&prmBoletin=6422-07,,,,1,,,,,,Segundo Tramite,"0,7",,10,,10,"La promesa cuenta con 4 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos"
